ngram	w1	w2	n
di_belakang	di	belakang	576
latar_belakang	latar	belakang	535
belakangan_ini	belakangan	ini	499
bagian_belakang	bagian	belakang	198
lini_belakang	lini	belakang	154
yang_belakangan	yang	belakangan	147
ke_belakang	ke	belakang	145
pemain_belakang	pemain	belakang	138
bertolak_belakang	bertolak	belakang	106
tahun_belakangan	tahun	belakangan	104
belakang_dengan	belakang	dengan	98
dari_belakang	dari	belakang	93
di_belakangnya	di	belakangnya	93
berlatar_belakang	berlatar	belakang	92
belakang_dan	belakang	dan	91
belakang_rumah	belakang	rumah	86
belakang_yang	belakang	yang	73
dan_belakang	dan	belakang	62
tulang_belakang	tulang	belakang	61
pintu_belakang	pintu	belakang	47
kamera_belakang	kamera	belakang	44
belakang_pendidikan	belakang	pendidikan	42
hari_belakangan	hari	belakangan	40
belakangan_diketahui	belakangan	diketahui	38
latar_belakangnya	latar	belakangnya	37
waktu_belakangan	waktu	belakangan	34
barisan_belakang	barisan	belakang	31
terjadi_belakangan	terjadi	belakangan	31
halaman_belakang	halaman	belakang	29
belakang_mobil	belakang	mobil	26
paling_belakang	paling	belakang	26
bulan_belakangan	bulan	belakangan	25
arah_belakang	arah	belakang	24
belakang_rumahnya	belakang	rumahnya	23
itu_belakangan	itu	belakangan	23
belakang_itu	belakang	itu	22
belakang_kantor	belakang	kantor	22
belakang_mereka	belakang	mereka	22
yang_melatarbelakangi	yang	melatarbelakangi	22
belakang_panggung	belakang	panggung	20
belakang_ini	belakang	ini	18
belakang_layar	belakang	layar	18
belakang_untuk	belakang	untuk	18
belakang_dari	belakang	dari	17
belakang_sebagai	belakang	sebagai	17
dilatarbelakangi_oleh	dilatarbelakangi	oleh	17
ini_belakangan	ini	belakangan	17
ini_dilatarbelakangi	ini	dilatarbelakangi	17
dan_belakangan	dan	belakangan	16
setahun_belakangan	setahun	belakangan	16
belakang_agama	belakang	agama	15
belakang_kepala	belakang	kepala	15
belakangan_mulai	belakangan	mulai	14
namun_belakangan	namun	belakangan	14
roda_belakang	roda	belakang	14
belakang_di	belakang	di	13
belakang_saya	belakang	saya	13
belakang_gawang	belakang	gawang	12
belakang_meja	belakang	meja	12
belakangan_banyak	belakangan	banyak	12
belakangan_kian	belakangan	kian	12
belakangan_sering	belakangan	sering	12
bagian_belakangnya	bagian	belakangnya	11
belakang_akan	belakang	akan	11
belakang_budaya	belakang	budaya	11
belakang_gedung	belakang	gedung	11
belakang_korban	belakang	korban	11
dan_keterbelakangan	dan	keterbelakangan	11
belakang_atau	belakang	atau	10
belakang_hingga	belakang	hingga	10
belakang_juga	belakang	juga	10
belakang_kami	belakang	kami	10
