ngram	w1	w2	w3	n
dengan_latar_belakang	dengan	latar	belakang	94
bertolak_belakang_dengan	bertolak	belakang	dengan	78
di_bagian_belakang	di	bagian	belakang	76
berada_di_belakang	berada	di	belakang	69
di_lini_belakang	di	lini	belakang	62
memiliki_latar_belakang	memiliki	latar	belakang	49
berbagai_latar_belakang	berbagai	latar	belakang	45
tahun_belakangan_ini	tahun	belakangan	ini	43
depan_dan_belakang	depan	dan	belakang	42
beberapa_tahun_belakangan	beberapa	tahun	belakangan	40
latar_belakang_pendidikan	latar	belakang	pendidikan	33
di_belakang_rumah	di	belakang	rumah	32
beberapa_hari_belakangan	beberapa	hari	belakangan	29
beberapa_waktu_belakangan	beberapa	waktu	belakangan	27
yang_belakangan_ini	yang	belakangan	ini	27
yang_terjadi_belakangan	yang	terjadi	belakangan	27
yang_berlatar_belakang	yang	berlatar	belakang	26
dari_latar_belakang	dari	latar	belakang	25
di_halaman_belakang	di	halaman	belakang	23
terjadi_belakangan_ini	terjadi	belakangan	ini	23
dan_latar_belakang	dan	latar	belakang	22
sangat_bertolak_belakang	sangat	bertolak	belakang	21
dari_arah_belakang	dari	arah	belakang	20
bagian_belakang_rumah	bagian	belakang	rumah	19
dua_tahun_belakangan	dua	tahun	belakangan	19
hari_belakangan_ini	hari	belakangan	ini	19
latar_belakang_yang	latar	belakang	yang	19
tahun_ke_belakang	tahun	ke	belakang	19
waktu_belakangan_ini	waktu	belakangan	ini	19
latar_belakang_dan	latar	belakang	dan	18
yang_belakangan_diketahui	yang	belakangan	diketahui	18
ada_di_belakang	ada	di	belakang	17
beragam_latar_belakang	beragam	latar	belakang	16
di_belakang_layar	di	belakang	layar	15
di_belakang_panggung	di	belakang	panggung	15
melihat_latar_belakang	melihat	latar	belakang	15
di_belakang_rumahnya	di	belakang	rumahnya	14
duduk_di_belakang	duduk	di	belakang	14
karena_latar_belakang	karena	latar	belakang	14
bagian_belakang_dan	bagian	belakang	dan	13
berada_di_belakangnya	berada	di	belakangnya	12
latar_belakang_agama	latar	belakang	agama	12
lima_tahun_belakangan	lima	tahun	belakangan	12
punya_latar_belakang	punya	latar	belakang	12
yang_bertolak_belakang	yang	bertolak	belakang	12
beberapa_bulan_belakangan	beberapa	bulan	belakangan	11
belakangan_ini_di	belakangan	ini	di	11
di_belakang_mereka	di	belakang	mereka	11
kepala_bagian_belakang	kepala	bagian	belakang	11
menjadi_latar_belakang	menjadi	latar	belakang	11
para_pemain_belakang	para	pemain	belakang	11
persis_di_belakang	persis	di	belakang	11
tepat_di_belakang	tepat	di	belakang	11
bulan_belakangan_ini	bulan	belakangan	ini	10
di_belakang_meja	di	belakang	meja	10
pada_bagian_belakang	pada	bagian	belakang	10
pada_tulang_belakang	pada	tulang	belakang	10
belakangan_ini_membuat	belakangan	ini	membuat	9
ini_bertolak_belakang	ini	bertolak	belakang	9
latar_belakang_budaya	latar	belakang	budaya	9
latar_belakang_sebagai	latar	belakang	sebagai	9
lini_belakang_yang	lini	belakang	yang	9
melalui_pintu_belakang	melalui	pintu	belakang	9
menoleh_ke_belakang	menoleh	ke	belakang	9
tepatnya_di_belakang	tepatnya	di	belakang	9
bagian_belakang_kepala	bagian	belakang	kepala	8
belakangan_diketahui_bernama	belakangan	diketahui	bernama	8
belakangan_ini_mulai	belakangan	ini	mulai	8
berdiri_di_belakang	berdiri	di	belakang	8
dari_pintu_belakang	dari	pintu	belakang	8
di_belakang_kantor	di	belakang	kantor	8
ke_bagian_belakang	ke	bagian	belakang	8
ke_belakang_dan	ke	belakang	dan	8
kedua_di_belakang	kedua	di	belakang	8
latar_belakang_berbeda	latar	belakang	berbeda	8
latar_belakang_sejarah	latar	belakang	sejarah	8
lewat_pintu_belakang	lewat	pintu	belakang	8
pemain_belakang_yang	pemain	belakang	yang	8
samping_dan_belakang	samping	dan	belakang	8
belakangan_ini_banyak	belakangan	ini	banyak	7
belakangan_ini_hanya	belakangan	ini	hanya	7
belakangan_ini_tidak	belakangan	ini	tidak	7
belakangan_ini_yang	belakangan	ini	yang	7
detik_di_belakang	detik	di	belakang	7
di_bagian_belakangnya	di	bagian	belakangnya	7
di_belakang_pasar	di	belakang	pasar	7
jauh_ke_belakang	jauh	ke	belakang	7
kamera_belakang_13MP	kamera	belakang	13MP	7
ketiga_di_belakang	ketiga	di	belakang	7
korban_dari_belakang	korban	dari	belakang	7
latar_belakang_politik	latar	belakang	politik	7
yang_mencuat_belakangan	yang	mencuat	belakangan	7
bagian_belakang_mobil	bagian	belakang	mobil	6
belakang_yang_berbeda	belakang	yang	berbeda	6
belakangan_ini_kian	belakangan	ini	kian	6
berlatar_belakang_pendidikan	berlatar	belakang	pendidikan	6
depan_ke_belakang	depan	ke	belakang	6
di_barisan_belakang	di	barisan	belakang	6
di_belakang_kami	di	belakang	kami	6
di_belakang_kemudi	di	belakang	kemudi	6
di_belakang_mobil	di	belakang	mobil	6
ditarik_ke_belakang	ditarik	ke	belakang	6
dua_pemain_belakang	dua	pemain	belakang	6
ini_berlatar_belakang	ini	berlatar	belakang	6
ini_dilatarbelakangi_oleh	ini	dilatarbelakangi	oleh	6
latar_belakang_profesi	latar	belakang	profesi	6
latar_belakang_seperti	latar	belakang	seperti	6
mempunyai_latar_belakang	mempunyai	latar	belakang	6
mencuat_belakangan_ini	mencuat	belakangan	ini	6
menengok_ke_belakang	menengok	ke	belakang	6
mengalami_keterbelakangan_mental	mengalami	keterbelakangan	mental	6
mengambil_latar_belakang	mengambil	latar	belakang	6
mengenai_latar_belakang	mengenai	latar	belakang	6
mundur_ke_belakang	mundur	ke	belakang	6
satu_pemain_belakang	satu	pemain	belakang	6
setahun_belakangan_ini	setahun	belakangan	ini	6
tiga_tahun_belakangan	tiga	tahun	belakangan	6
tulang_belakang_dan	tulang	belakang	dan	6
apa_latar_belakang	apa	latar	belakang	5
atau_di_belakang	atau	di	belakang	5
beberapa_pekan_belakangan	beberapa	pekan	belakangan	5
belakang_13MP_dan	belakang	13MP	dan	5
belakang_dengan_apa	belakang	dengan	apa	5
belakang_rumah_yang	belakang	rumah	yang	5
belakangan_ini_memang	belakangan	ini	memang	5
belakangan_ini_tak	belakangan	ini	tak	5
belakangan_ini_terus	belakangan	ini	terus	5
berkembang_belakangan_ini	berkembang	belakangan	ini	5
dan_bagian_belakang	dan	bagian	belakang	5
dari_belakang_dan	dari	belakang	dan	5
dengan_kamera_belakang	dengan	kamera	belakang	5
di_belakang_aksi	di	belakang	aksi	5
di_belakang_dan	di	belakang	dan	5
di_belakang_hari	di	belakang	hari	5
di_belakangnya_dengan	di	belakangnya	dengan	5
di_kursi_belakang	di	kursi	belakang	5
di_sektor_belakang	di	sektor	belakang	5
dilengkapi_kamera_belakang	dilengkapi	kamera	belakang	5
halaman_belakang_rumah	halaman	belakang	rumah	5
kamera_belakang_dan	kamera	belakang	dan	5
ke_belakang_untuk	ke	belakang	untuk	5
kesalahan_pemain_belakang	kesalahan	pemain	belakang	5
latar_belakang_ilmu	latar	belakang	ilmu	5
latar_belakang_pekerjaan	latar	belakang	pekerjaan	5
latar_belakang_pendidikannya	latar	belakang	pendidikannya	5
lini_belakang_tim	lini	belakang	tim	5
melihat_ke_belakang	melihat	ke	belakang	5
memandang_latar_belakang	memandang	latar	belakang	5
pemain_belakang_lawan	pemain	belakang	lawan	5
penetrasi_dari_belakang	penetrasi	dari	belakang	5
pintu_belakang_dan	pintu	belakang	dan	5
posisi_paling_belakang	posisi	paling	belakang	5
sebagai_latar_belakang	sebagai	latar	belakang	5
tahun-tahun_belakangan_ini	tahun-tahun	belakangan	ini	5
tanah_di_belakang	tanah	di	belakang	5
tersebut_bertolak_belakang	tersebut	bertolak	belakang	5
yang_belakangan_kian	yang	belakangan	kian	5
yang_berkembang_belakangan	yang	berkembang	belakangan	5
yang_latar_belakangnya	yang	latar	belakangnya	5
adalah_latar_belakang	adalah	latar	belakang	4
bagasi_belakang_mobil	bagasi	belakang	mobil	4
bagian_belakang_bangunan	bagian	belakang	bangunan	4
bagian_belakang_korban	bagian	belakang	korban	4
bagian_belakang_pesawat	bagian	belakang	pesawat	4
bagian_belakang_terdapat	bagian	belakang	terdapat	4
bagian_belakang_truk	bagian	belakang	truk	4
bekerja_di_belakang	bekerja	di	belakang	4
belakang_dan_depan	belakang	dan	depan	4
belakang_dengan_pernyataan	belakang	dengan	pernyataan	4
belakang_gawang_utara	belakang	gawang	utara	4
belakang_pendidikan_dan	belakang	pendidikan	dan	4
belakang_rumahnya_di	belakang	rumahnya	di	4
belakang_yang_sama	belakang	yang	sama	4
belakangan_ini_dan	belakangan	ini	dan	4
belakangan_ini_juga	belakangan	ini	juga	4
belakangan_ini_karena	belakangan	ini	karena	4
belakangan_ini_semakin	belakangan	ini	semakin	4
belakangan_ini_telah	belakangan	ini	telah	4
belakangan_menjadi_sorotan	belakangan	menjadi	sorotan	4
berlatar_belakang_militer	berlatar	belakang	militer	4
berlatar_belakang_pengusaha	berlatar	belakang	pengusaha	4
berlokasi_di_belakang	berlokasi	di	belakang	4
bertolak_belakang_de-ngan	bertolak	belakang	de-ngan	4
bulan_ke_belakang	bulan	ke	belakang	4
dan_di_belakang	dan	di	belakang	4
dan_ke_belakang	dan	ke	belakang	4
dari_bagian_belakang	dari	bagian	belakang	4
dari_belakang_oleh	dari	belakang	oleh	4
dari_lini_belakang	dari	lini	belakang	4
dari_pemain_belakang	dari	pemain	belakang	4
di_belakang_garis	di	belakang	garis	4
di_belakang_gawang	di	belakang	gawang	4
di_belakang_kepala	di	belakang	kepala	4
di_belakang_kita	di	belakang	kita	4
di_belakang_masjid	di	belakang	masjid	4
di_belakang_saya	di	belakang	saya	4
di_belakangnya_ada	di	belakangnya	ada	4
di_ruang_belakang	di	ruang	belakang	4
halaman_belakang_kantor	halaman	belakang	kantor	4
halaman_belakang_rumahnya	halaman	belakang	rumahnya	4
hujan_belakangan_ini	hujan	belakangan	ini	4
ini_dilatarbelakangi_karena	ini	dilatarbelakangi	karena	4
itu_bertolak_belakang	itu	bertolak	belakang	4
latar_belakang_berbagai	latar	belakang	berbagai	4
latar_belakang_bisnis	latar	belakang	bisnis	4
latar_belakang_dari	latar	belakang	dari	4
latar_belakang_di	latar	belakang	di	4
latar_belakang_foto	latar	belakang	foto	4
latar_belakang_juga	latar	belakang	juga	4
latar_belakang_keluarga	latar	belakang	keluarga	4
latar_belakang_mereka	latar	belakang	mereka	4
latar_belakang_pengusaha	latar	belakang	pengusaha	4
latar_belakang_untuk	latar	belakang	untuk	4
lini_belakang_dan	lini	belakang	dan	4
macam_latar_belakang	macam	latar	belakang	4
marak_belakangan_ini	marak	belakangan	ini	4
masih_di_belakang	masih	di	belakang	4
masyarakat_belakangan_ini	masyarakat	belakangan	ini	4
memiliki_kamera_belakang	memiliki	kamera	belakang	4
mengatakan_latar_belakang	mengatakan	latar	belakang	4
mengecoh_pemain_belakang	mengecoh	pemain	belakang	4
mengenai_bagian_belakang	mengenai	bagian	belakang	4
menunggu_di_belakang	menunggu	di	belakang	4
pemain_belakang_itu	pemain	belakang	itu	4
perbedaan_latar_belakang	perbedaan	latar	belakang	4
politik_di_belakang	politik	di	belakang	4
rumah_bagian_belakang	rumah	bagian	belakang	4
sumsum_tulang_belakang	sumsum	tulang	belakang	4
tentang_latar_belakang	tentang	latar	belakang	4
tentu_bertolak_belakang	tentu	bertolak	belakang	4
tersebut_belakangan_ini	tersebut	belakangan	ini	4
tiga_bulan_belakangan	tiga	bulan	belakangan	4
