ngram	w1	w2	w3	w4	n
dari_berbagai_latar_belakang	dari	berbagai	latar	belakang	36
yang_berada_di_belakang	yang	berada	di	belakang	22
yang_terjadi_belakangan_ini	yang	terjadi	belakangan	ini	21
beberapa_tahun_belakangan_ini	beberapa	tahun	belakangan	ini	19
beberapa_waktu_belakangan_ini	beberapa	waktu	belakangan	ini	15
sangat_bertolak_belakang_dengan	sangat	bertolak	belakang	dengan	14
yang_memiliki_latar_belakang	yang	memiliki	latar	belakang	14
beberapa_hari_belakangan_ini	beberapa	hari	belakangan	ini	12
dari_beragam_latar_belakang	dari	beragam	latar	belakang	12
di_bagian_belakang_dan	di	bagian	belakang	dan	10
bagian_depan_dan_belakang	bagian	depan	dan	belakang	9
yang_ada_di_belakang	yang	ada	di	belakang	9
berasal_dari_latar_belakang	berasal	dari	latar	belakang	8
ini_bertolak_belakang_dengan	ini	bertolak	belakang	dengan	8
tidak_memiliki_latar_belakang	tidak	memiliki	latar	belakang	8
beberapa_tahun_ke_belakang	beberapa	tahun	ke	belakang	7
dalam_beberapa_bulan_belakangan	dalam	beberapa	bulan	belakangan	7
dalam_beberapa_tahun_belakangan	dalam	beberapa	tahun	belakangan	7
di_bagian_belakang_rumah	di	bagian	belakang	rumah	7
yang_belakangan_diketahui_bernama	yang	belakangan	diketahui	bernama	7
yang_duduk_di_belakang	yang	duduk	di	belakang	7
berada_di_bagian_belakang	berada	di	bagian	belakang	6
dalam_beberapa_hari_belakangan	dalam	beberapa	hari	belakangan	6
dengan_berbagai_latar_belakang	dengan	berbagai	latar	belakang	6
dengan_latar_belakang_yang	dengan	latar	belakang	yang	6
di_samping_dan_belakang	di	samping	dan	belakang	6
dua_tahun_ke_belakang	dua	tahun	ke	belakang	6
orang_dengan_latar_belakang	orang	dengan	latar	belakang	6
yang_bertolak_belakang_dengan	yang	bertolak	belakang	dengan	6
yang_menjadi_latar_belakang	yang	menjadi	latar	belakang	6
belakang_13MP_dan_kamera	belakang	13MP	dan	kamera	5
belakang_dengan_apa_yang	belakang	dengan	apa	yang	5
dalam_dua_tahun_belakangan	dalam	dua	tahun	belakangan	5
dalam_lima_tahun_belakangan	dalam	lima	tahun	belakangan	5
di_depan_dan_belakang	di	depan	dan	belakang	5
di_kepala_bagian_belakang	di	kepala	bagian	belakang	5
dua_tahun_belakangan_ini	dua	tahun	belakangan	ini	5
kamera_belakang_13MP_dan	kamera	belakang	13MP	dan	5
melakukan_penetrasi_dari_belakang	melakukan	penetrasi	dari	belakang	5
memiliki_latar_belakang_pendidikan	memiliki	latar	belakang	pendidikan	5
memiliki_latar_belakang_sebagai	memiliki	latar	belakang	sebagai	5
pemain_di_lini_belakang	pemain	di	lini	belakang	5
sejak_beberapa_tahun_belakangan	sejak	beberapa	tahun	belakangan	5
terletak_di_bagian_belakang	terletak	di	bagian	belakang	5
tersebut_bertolak_belakang_dengan	tersebut	bertolak	belakang	dengan	5
yang_berada_di_belakangnya	yang	berada	di	belakangnya	5
yang_mencuat_belakangan_ini	yang	mencuat	belakangan	ini	5
beberapa_bulan_belakangan_ini	beberapa	bulan	belakangan	ini	4
berada_di_belakang_layar	berada	di	belakang	layar	4
berfoto_dengan_latar_belakang	berfoto	dengan	latar	belakang	4
berhasil_mengecoh_pemain_belakang	berhasil	mengecoh	pemain	belakang	4
bertolak_belakang_dengan_apa	bertolak	belakang	dengan	apa	4
bertolak_belakang_dengan_pernyataan	bertolak	belakang	dengan	pernyataan	4
di_halaman_belakang_kantor	di	halaman	belakang	kantor	4
di_halaman_belakang_rumahnya	di	halaman	belakang	rumahnya	4
dilihat_dari_latar_belakang	dilihat	dari	latar	belakang	4
duduk_di_belakang_meja	duduk	di	belakang	meja	4
duduk_di_kursi_belakang	duduk	di	kursi	belakang	4
hujan_yang_terjadi_belakangan	hujan	yang	terjadi	belakangan	4
kamera_depan_dan_belakang	kamera	depan	dan	belakang	4
latar_belakang_yang_berbeda	latar	belakang	yang	berbeda	4
latar_belakang_yang_sama	latar	belakang	yang	sama	4
selama_dua_tahun_belakangan	selama	dua	tahun	belakangan	4
siap_berada_di_belakang	siap	berada	di	belakang	4
tanpa_melihat_latar_belakang	tanpa	melihat	latar	belakang	4
tanpa_memandang_latar_belakang	tanpa	memandang	latar	belakang	4
tentu_bertolak_belakang_dengan	tentu	bertolak	belakang	dengan	4
yang_berkembang_belakangan_ini	yang	berkembang	belakangan	ini	4
yang_berlokasi_di_belakang	yang	berlokasi	di	belakang	4
yang_punya_latar_belakang	yang	punya	latar	belakang	4
4G_belakangan_menjadi_alternatif	4G	belakangan	menjadi	alternatif	3
agama_dan_latar_belakang	agama	dan	latar	belakang	3
apa_yang_terjadi_belakangan	apa	yang	terjadi	belakangan	3
bagian_belakang_rumah_yang	bagian	belakang	rumah	yang	3
bekerja_di_belakang_meja	bekerja	di	belakang	meja	3
belakang_garis_aman_peron	belakang	garis	aman	peron	3
belakangan_menjadi_alternatif_banyak	belakangan	menjadi	alternatif	banyak	3
berada_di_belakang_rumah	berada	di	belakang	rumah	3
berada_tepat_di_belakang	berada	tepat	di	belakang	3
berbagai_macam_latar_belakang	berbagai	macam	latar	belakang	3
berdiri_persis_di_belakang	berdiri	persis	di	belakang	3
bertolak_belakang_dengan_kondisi	bertolak	belakang	dengan	kondisi	3
bertolak_belakang_dengan_prinsip	bertolak	belakang	dengan	prinsip	3
dari_depan_ke_belakang	dari	depan	ke	belakang	3
dari_latar_belakang_yang	dari	latar	belakang	yang	3
dari_para_pemain_belakang	dari	para	pemain	belakang	3
dari_posisi_paling_belakang	dari	posisi	paling	belakang	3
dengan_beragam_latar_belakang	dengan	beragam	latar	belakang	3
dengan_latar_belakang_berbeda	dengan	latar	belakang	berbeda	3
dengan_latar_belakang_budaya	dengan	latar	belakang	budaya	3
dengan_latar_belakang_gunung	dengan	latar	belakang	gunung	3
dengan_menunggu_di_belakang	dengan	menunggu	di	belakang	3
depan_dan_ke_belakang	depan	dan	ke	belakang	3
di_bagasi_belakang_mobil	di	bagasi	belakang	mobil	3
di_barisan_paling_belakang	di	barisan	paling	belakang	3
di_belakang_garis_aman	di	belakang	garis	aman	3
di_belakang_sepeda_motor	di	belakang	sepeda	motor	3
di_lini_belakang_yang	di	lini	belakang	yang	3
dilengkapi_dengan_kamera_belakang	dilengkapi	dengan	kamera	belakang	3
dilengkapi_kamera_belakang_13MP	dilengkapi	kamera	belakang	13MP	3
ditabrak_dari_arah_belakang	ditabrak	dari	arah	belakang	3
isu_yang_berkembang_belakangan	isu	yang	berkembang	belakangan	3
itu_bertolak_belakang_dengan	itu	bertolak	belakang	dengan	3
kabur_melalui_pintu_belakang	kabur	melalui	pintu	belakang	3
kepala_bagian_belakang_korban	kepala	bagian	belakang	korban	3
latar_belakang_agama_suku	latar	belakang	agama	suku	3
latar_belakang_mulai_dari	latar	belakang	mulai	dari	3
latar_belakang_pendidikan_dan	latar	belakang	pendidikan	dan	3
latar_belakang_seperti_itu	latar	belakang	seperti	itu	3
lima_tahun_belakangan_ini	lima	tahun	belakangan	ini	3
lini_tengah_dan_belakang	lini	tengah	dan	belakang	3
melihat_ke_belakang_dan	melihat	ke	belakang	dan	3
melihat_latar_belakang_pendidikan	melihat	latar	belakang	pendidikan	3
memandang_latar_belakang_agama	memandang	latar	belakang	agama	3
menunggu_di_belakang_garis	menunggu	di	belakang	garis	3
petugas_di_bagasi_belakang	petugas	di	bagasi	belakang	3
pintu_depan_dan_belakang	pintu	depan	dan	belakang	3
posisi_kedua_di_belakang	posisi	kedua	di	belakang	3
salah_satu_pemain_belakang	salah	satu	pemain	belakang	3
sejak_beberapa_waktu_belakangan	sejak	beberapa	waktu	belakangan	3
selama_beberapa_waktu_belakangan	selama	beberapa	waktu	belakangan	3
selama_lima_tahun_belakangan	selama	lima	tahun	belakangan	3
selama_tahun_belakangan_ini	selama	tahun	belakangan	ini	3
selfie_dengan_latar_belakang	selfie	dengan	latar	belakang	3
sisi_depan_dan_belakang	sisi	depan	dan	belakang	3
untuk_kamera_belakang_dan	untuk	kamera	belakang	dan	3
ada_di_bagian_belakang	ada	di	bagian	belakang	2
ada_di_belakang_rumahnya	ada	di	belakang	rumahnya	2
ada_tiga_pemain_belakang	ada	tiga	pemain	belakang	2
adalah_kamera_pengintai_belakang	adalah	kamera	pengintai	belakang	2
adalah_latar_belakang_pendidikan	adalah	latar	belakang	pendidikan	2
akan_berada_di_belakang	akan	berada	di	belakang	2
akan_bertolak_belakang_dengan	akan	bertolak	belakang	dengan	2
aksi_demo_belakangan_ini	aksi	demo	belakangan	ini	2
apapun_latar_belakangnya_memiliki	apapun	latar	belakangnya	memiliki	2
arah_belakang_jam_seperti	arah	belakang	jam	seperti	2
area_persawahan_belakang_perumahan	area	persawahan	belakang	perumahan	2
artistik_di_belakang_proyek	artistik	di	belakang	proyek	2
bagian_belakang_dan_yang	bagian	belakang	dan	yang	2
bagian_belakang_terdapat_dua	bagian	belakang	terdapat	dua	2
bagian_depan_atau_belakang	bagian	depan	atau	belakang	2
bajual_di_belakang_pasar	bajual	di	belakang	pasar	2
bajual_yakni_di_belakang	bajual	yakni	di	belakang	2
bebe-rapa_tahun_belakangan_ini	bebe-rapa	tahun	belakangan	ini	2
beberapa_bulan_belakangan_karena	beberapa	bulan	belakangan	karena	2
belakang_12MP_dan_kamera	belakang	12MP	dan	kamera	2
belakang_akibat_gagal_lolos	belakang	akibat	gagal	lolos	2
belakang_dan_bagian_tubuh	belakang	dan	bagian	tubuh	2
belakang_dan_dirawat_di	belakang	dan	dirawat	di	2
belakang_dari_apa_yang	belakang	dari	apa	yang	2
belakang_dengan_dua_tempat	belakang	dengan	dua	tempat	2
belakang_dengan_kondisi_ril	belakang	dengan	kondisi	ril	2
belakang_di_antara_para	belakang	di	antara	para	2
belakang_di_dokter_gigi	belakang	di	dokter	gigi	2
belakang_di_dunia_industri	belakang	di	dunia	industri	2
belakang_gawang_utara_selatan	belakang	gawang	utara	selatan	2
belakang_hunian_seluas_meter	belakang	hunian	seluas	meter	2
belakang_jam_seperti_gigi-gigi	belakang	jam	seperti	gigi-gigi	2
belakang_justru_memberikan_peluang	belakang	justru	memberikan	peluang	2
belakang_kamar_namun_setelah	belakang	kamar	namun	setelah	2
belakang_menjadi_ukuran_maka	belakang	menjadi	ukuran	maka	2
belakang_mulai_dari_pelajar	belakang	mulai	dari	pelajar	2
belakang_negara-negara_maju_kata	belakang	negara-negara	maju	kata	2
belakang_padahal_di_belakang	belakang	padahal	di	belakang	2
belakang_pasar_karena_akan	belakang	pasar	karena	akan	2
belakang_pendidikan_yaitu_minimal	belakang	pendidikan	yaitu	minimal	2
belakang_rumah_itu_berdiri	belakang	rumah	itu	berdiri	2
belakang_rumah_telah_menganga	belakang	rumah	telah	menganga	2
belakang_sebagai_pengajar_di	belakang	sebagai	pengajar	di	2
belakang_serta_kiper_dengan	belakang	serta	kiper	dengan	2
belakang_sistem_antisipasi_benturan	belakang	sistem	antisipasi	benturan	2
belakang_tak_ada_siapa-siapa	belakang	tak	ada	siapa-siapa	2
belakang_tapi_juga_lini	belakang	tapi	juga	lini	2
belakang_tengah_dan_depan	belakang	tengah	dan	depan	2
belakang_ternyata_dapat_dipicu	belakang	ternyata	dapat	dipicu	2
belakang_tersebut_saat_ini	belakang	tersebut	saat	ini	2
belakang_tugu_atau_pemandangan	belakang	tugu	atau	pemandangan	2
belakang_untuk_mengulik_lebih	belakang	untuk	mengulik	lebih	2
belakang_wanita_post-menopause_ulasnya	belakang	wanita	post-menopause	ulasnya	2
belakang_yang_berasal_dari	belakang	yang	berasal	dari	2
belakang_yang_layak_menggantikan	belakang	yang	layak	menggantikan	2
belakang_yang_lebih_baik	belakang	yang	lebih	baik	2
belakangan_beredar_kabar_bahwa	belakangan	beredar	kabar	bahwa	2
belakangan_hanya_menjadi_pelatih	belakangan	hanya	menjadi	pelatih	2
belakangan_hari_ini_dapat	belakangan	hari	ini	dapat	2
belakangan_ini_cukup_banyak	belakangan	ini	cukup	banyak	2
belakangan_ini_di_wilayah	belakangan	ini	di	wilayah	2
belakangan_ini_kelihatan_semakin	belakangan	ini	kelihatan	semakin	2
belakangan_ini_memang_lagi	belakangan	ini	memang	lagi	2
belakangan_ini_mulai_marak	belakangan	ini	mulai	marak	2
belakangan_ini_mulai_mendapatkan	belakangan	ini	mulai	mendapatkan	2
belakangan_ini_semakin_marak	belakangan	ini	semakin	marak	2
belakangan_ini_tidak_lagi	belakangan	ini	tidak	lagi	2
belakangan_melonjak_kembali_turun	belakangan	melonjak	kembali	turun	2
belakangan_menjadi_sorotan_publik	belakangan	menjadi	sorotan	publik	2
belakangan_minim_anggaran_untuk	belakangan	minim	anggaran	untuk	2
belakangnya_memiliki_hak_dan	belakangnya	memiliki	hak	dan	2
berada_di_belakang_aksi	berada	di	belakang	aksi	2
berada_di_belakang_eks	berada	di	belakang	eks	2
berada_di_belakang_kami	berada	di	belakang	kami	2
berada_di_halaman_belakang	berada	di	halaman	belakang	2
berada_persis_di_belakang	berada	persis	di	belakang	2
beragam_latar_belakang_untuk	beragam	latar	belakang	untuk	2
beras_yang_belakangan_melonjak	beras	yang	belakangan	melonjak	2
berbagai_latar_belakang_agama	berbagai	latar	belakang	agama	2
berbagai_latar_belakang_dan	berbagai	latar	belakang	dan	2
berbagai_latar_belakang_di	berbagai	latar	belakang	di	2
berbagai_latar_belakang_ilmu	berbagai	latar	belakang	ilmu	2
berbagai_latar_belakang_ini	berbagai	latar	belakang	ini	2
berbagai_latar_belakang_mulai	berbagai	latar	belakang	mulai	2
berbagai_latar_belakang_seperti	berbagai	latar	belakang	seperti	2
berbagai_latar_belakang_yang	berbagai	latar	belakang	yang	2
berdasarkan_kepentingan_yang_melatarbelakangi	berdasarkan	kepentingan	yang	melatarbelakangi	2
berjualan_di_belakang_pasar	berjualan	di	belakang	pasar	2
berlokasi_di_belakang_kantor	berlokasi	di	belakang	kantor	2
