ngram	w1	w2	w3	w4	w5	n
berasal_dari_berbagai_latar_belakang	berasal	dari	berbagai	latar	belakang	7
belakang_13MP_dan_kamera_depan	belakang	13MP	dan	kamera	depan	5
berasal_dari_beragam_latar_belakang	berasal	dari	beragam	latar	belakang	5
datang_dari_berbagai_latar_belakang	datang	dari	berbagai	latar	belakang	5
kamera_belakang_13MP_dan_kamera	kamera	belakang	13MP	dan	kamera	5
bertolak_belakang_dengan_apa_yang	bertolak	belakang	dengan	apa	yang	4
penumpang_yang_duduk_di_belakang	penumpang	yang	duduk	di	belakang	4
4G_belakangan_menjadi_alternatif_banyak	4G	belakangan	menjadi	alternatif	banyak	3
apa_yang_terjadi_belakangan_ini	apa	yang	terjadi	belakangan	ini	3
belakang_dengan_apa_yang_sedang	belakang	dengan	apa	yang	sedang	3
belakangan_menjadi_alternatif_banyak_pengguna	belakangan	menjadi	alternatif	banyak	pengguna	3
curah_hujan_yang_terjadi_belakangan	curah	hujan	yang	terjadi	belakangan	3
dalam_beberapa_hari_belakangan_ini	dalam	beberapa	hari	belakangan	ini	3
dalam_beberapa_tahun_belakangan_ini	dalam	beberapa	tahun	belakangan	ini	3
dan_dua_tahun_ke_belakang	dan	dua	tahun	ke	belakang	3
dengan_latar_belakang_yang_sama	dengan	latar	belakang	yang	sama	3
dengan_menunggu_di_belakang_garis	dengan	menunggu	di	belakang	garis	3
di_bagian_depan_dan_belakang	di	bagian	depan	dan	belakang	3
di_belakang_garis_aman_peron	di	belakang	garis	aman	peron	3
dilengkapi_kamera_belakang_13MP_dan	dilengkapi	kamera	belakang	13MP	dan	3
ditemukan_petugas_di_bagasi_belakang	ditemukan	petugas	di	bagasi	belakang	3
hujan_yang_terjadi_belakangan_ini	hujan	yang	terjadi	belakangan	ini	3
ke_depan_dan_ke_belakang	ke	depan	dan	ke	belakang	3
keselamatan_dengan_menunggu_di_belakang	keselamatan	dengan	menunggu	di	belakang	3
menunggu_di_belakang_garis_aman	menunggu	di	belakang	garis	aman	3
orang_dari_berbagai_latar_belakang	orang	dari	berbagai	latar	belakang	3
pada_bagian_depan_dan_belakang	pada	bagian	depan	dan	belakang	3
petugas_di_bagasi_belakang_mobil	petugas	di	bagasi	belakang	mobil	3
yang_berada_di_bagian_belakang	yang	berada	di	bagian	belakang	3
yang_terletak_di_bagian_belakang	yang	terletak	di	bagian	belakang	3
yang_tidak_memiliki_latar_belakang	yang	tidak	memiliki	latar	belakang	3
ada_tiga_pemain_belakang_yang	ada	tiga	pemain	belakang	yang	2
adalah_kamera_pengintai_belakang_sistem	adalah	kamera	pengintai	belakang	sistem	2
adalah_latar_belakang_pendidikan_yaitu	adalah	latar	belakang	pendidikan	yaitu	2
antaranya_adalah_kamera_pengintai_belakang	antaranya	adalah	kamera	pengintai	belakang	2
apapun_latar_belakangnya_memiliki_hak	apapun	latar	belakangnya	memiliki	hak	2
arah_belakang_jam_seperti_gigi-gigi	arah	belakang	jam	seperti	gigi-gigi	2
bajual_di_belakang_pasar_karena	bajual	di	belakang	pasar	karena	2
bajual_yakni_di_belakang_pasar	bajual	yakni	di	belakang	pasar	2
balapan_dari_posisi_paling_belakang	balapan	dari	posisi	paling	belakang	2
beberapa_tahun_belakangan_ini_kata	beberapa	tahun	belakangan	ini	kata	2
beberapa_waktu_belakangan_ini_terus	beberapa	waktu	belakangan	ini	terus	2
beberapa_waktu_belakangan_ini_tidak	beberapa	waktu	belakangan	ini	tidak	2
belakang_akibat_gagal_lolos_dari	belakang	akibat	gagal	lolos	dari	2
belakang_dan_bagian_tubuh_lain	belakang	dan	bagian	tubuh	lain	2
belakang_dengan_dua_tempat_duduk	belakang	dengan	dua	tempat	duduk	2
belakang_di_dokter_gigi_langganan	belakang	di	dokter	gigi	langganan	2
belakang_di_dunia_industri_kreatif	belakang	di	dunia	industri	kreatif	2
belakang_garis_aman_peron_tidak	belakang	garis	aman	peron	tidak	2
belakang_jam_seperti_gigi-gigi_mesin	belakang	jam	seperti	gigi-gigi	mesin	2
belakang_justru_memberikan_peluang_bagi	belakang	justru	memberikan	peluang	bagi	2
belakang_kamar_namun_setelah_kembali	belakang	kamar	namun	setelah	kembali	2
belakang_menjadi_ukuran_maka_paling	belakang	menjadi	ukuran	maka	paling	2
belakang_negara-negara_maju_kata_laporan	belakang	negara-negara	maju	kata	laporan	2
belakang_padahal_di_belakang_tak	belakang	padahal	di	belakang	tak	2
belakang_pasar_karena_akan_ada	belakang	pasar	karena	akan	ada	2
belakang_rumah_telah_menganga_jurang	belakang	rumah	telah	menganga	jurang	2
belakang_serta_kiper_dengan_tendangan	belakang	serta	kiper	dengan	tendangan	2
belakang_sistem_antisipasi_benturan_yang	belakang	sistem	antisipasi	benturan	yang	2
belakang_tak_ada_siapa-siapa_itu	belakang	tak	ada	siapa-siapa	itu	2
belakang_tapi_juga_lini_tengah	belakang	tapi	juga	lini	tengah	2
belakang_ternyata_dapat_dipicu_dari	belakang	ternyata	dapat	dipicu	dari	2
belakang_tersebut_saat_ini_menjalani	belakang	tersebut	saat	ini	menjalani	2
belakang_yang_layak_menggantikan_posisi	belakang	yang	layak	menggantikan	posisi	2
belakangan_hanya_menjadi_pelatih_secara	belakangan	hanya	menjadi	pelatih	secara	2
belakangan_ini_mulai_mendapatkan_kritikan	belakangan	ini	mulai	mendapatkan	kritikan	2
belakangan_melonjak_kembali_turun_dan	belakangan	melonjak	kembali	turun	dan	2
belakangan_minim_anggaran_untuk_pelatihan	belakangan	minim	anggaran	untuk	pelatihan	2
belakangnya_memiliki_hak_dan_kewajiban	belakangnya	memiliki	hak	dan	kewajiban	2
beragam_latar_belakang_untuk_mengulik	beragam	latar	belakang	untuk	mengulik	2
beras_yang_belakangan_melonjak_kembali	beras	yang	belakangan	melonjak	kembali	2
berbagai_latar_belakang_di_dunia	berbagai	latar	belakang	di	dunia	2
berbagai_latar_belakang_mulai_dari	berbagai	latar	belakang	mulai	dari	2
berdiam_dengan_posisi_duduk_membelakangi	berdiam	dengan	posisi	duduk	membelakangi	2
berfoto_dengan_latar_belakang_tugu	berfoto	dengan	latar	belakang	tugu	2
berhasil_mengecoh_pemain_belakang_serta	berhasil	mengecoh	pemain	belakang	serta	2
bertolak_belakang_dengan_kondisi_ril	bertolak	belakang	dengan	kondisi	ril	2
crown_gigi_belakang_di_dokter	crown	gigi	belakang	di	dokter	2
cukup_solid_meski_pemain_belakangnya	cukup	solid	meski	pemain	belakangnya	2
dalam_beberapa_bulan_belakangan_ini	dalam	beberapa	bulan	belakangan	ini	2
dan_belakang_hunian_seluas_meter	dan	belakang	hunian	seluas	meter	2
dan_berhasil_mengecoh_pemain_belakang	dan	berhasil	mengecoh	pemain	belakang	2
dan_pemain_belakang_tersebut_saat	dan	pemain	belakang	tersebut	saat	2
dan_sumsum_tulang_belakang_ternyata	dan	sumsum	tulang	belakang	ternyata	2
dari_arah_belakang_jam_seperti	dari	arah	belakang	jam	seperti	2
dari_belakang_padahal_di_belakang	dari	belakang	padahal	di	belakang	2
dari_beragam_latar_belakang_untuk	dari	beragam	latar	belakang	untuk	2
dari_berbagai_latar_belakang_agama	dari	berbagai	latar	belakang	agama	2
dari_berbagai_latar_belakang_dan	dari	berbagai	latar	belakang	dan	2
dari_berbagai_latar_belakang_ini	dari	berbagai	latar	belakang	ini	2
dari_berbagai_latar_belakang_mulai	dari	berbagai	latar	belakang	mulai	2
dari_berbagai_latar_belakang_seperti	dari	berbagai	latar	belakang	seperti	2
dari_kebodohan_dan_keterbelakangan_ujarnya	dari	kebodohan	dan	keterbelakangan	ujarnya	2
dari_menit_dari_pebalap_dibelakangnya	dari	menit	dari	pebalap	dibelakangnya	2
dari_posisi_paling_belakang_akibat	dari	posisi	paling	belakang	akibat	2
dengan_berbagai_latar_belakang_di	dengan	berbagai	latar	belakang	di	2
dengan_latar_belakang_gunung_berapi	dengan	latar	belakang	gunung	berapi	2
dengan_latar_belakang_tugu_atau	dengan	latar	belakang	tugu	atau	2
dengan_posisi_duduk_membelakangi_penonton	dengan	posisi	duduk	membelakangi	penonton	2
depan_dan_inci_di_belakang	depan	dan	inci	di	belakang	2
di_area_persawahan_belakang_perumahan	di	area	persawahan	belakang	perumahan	2
di_bagian_belakang_dan_yang	di	bagian	belakang	dan	yang	2
di_belakang_kamar_namun_setelah	di	belakang	kamar	namun	setelah	2
di_belakang_negara-negara_maju_kata	di	belakang	negara-negara	maju	kata	2
di_belakang_pasar_karena_akan	di	belakang	pasar	karena	akan	2
di_belakang_rumah_telah_menganga	di	belakang	rumah	telah	menganga	2
di_belakang_tak_ada_siapa-siapa	di	belakang	tak	ada	siapa-siapa	2
di_halaman_belakang_rumahnya_di	di	halaman	belakang	rumahnya	di	2
di_halaman_depan_dan_belakang	di	halaman	depan	dan	belakang	2
di_kursi_belakang_mobil_saat	di	kursi	belakang	mobil	saat	2
di_lahan_kosong_di_belakang	di	lahan	kosong	di	belakang	2
di_posisi_ketiga_di_belakang	di	posisi	ketiga	di	belakang	2
di_samping_dan_belakang_gedung	di	samping	dan	belakang	gedung	2
di_samping_dan_belakang_hunian	di	samping	dan	belakang	hunian	2
dia_bertolak_belakang_dengan_apa	dia	bertolak	belakang	dengan	apa	2
didapati_sedang_tidur_di_belakang	didapati	sedang	tidur	di	belakang	2
ditabrak_mobil_dari_arah_belakang	ditabrak	mobil	dari	arah	belakang	2
ditarik_orang_dari_belakang_padahal	ditarik	orang	dari	belakang	padahal	2
dua_tahun_belakangan_hanya_menjadi	dua	tahun	belakangan	hanya	menjadi	2
dua_tahun_ke_belakang_menjadi	dua	tahun	ke	belakang	menjadi	2
duduk_di_kursi_belakang_mobil	duduk	di	kursi	belakang	mobil	2
dulu_tampa_bajual_di_belakang	dulu	tampa	bajual	di	belakang	2
film_dengan_latar_belakang_bahasa	film	dengan	latar	belakang	bahasa	2
gelandang_serang_dan_pemain_belakang	gelandang	serang	dan	pemain	belakang	2
gigi_belakang_di_dokter_gigi	gigi	belakang	di	dokter	gigi	2
gol_bunuh_diri_pemain_belakang	gol	bunuh	diri	pemain	belakang	2
hampir_tahun_di_belakang_negara-negara	hampir	tahun	di	belakang	negara-negara	2
hanya_lini_belakang_tapi_juga	hanya	lini	belakang	tapi	juga	2
harga_beras_yang_belakangan_melonjak	harga	beras	yang	belakangan	melonjak	2
ini_paha_belakang_dijual_seharga	ini	paha	belakang	dijual	seharga	2
ini_sangat_bertolak_belakang_dengan	ini	sangat	bertolak	belakang	dengan	2
ini_tentu_bertolak_belakang_dengan	ini	tentu	bertolak	belakang	dengan	2
isu_yang_berkembang_belakangan_ini	isu	yang	berkembang	belakangan	ini	2
itu_menurut_dia_bertolak_belakang	itu	menurut	dia	bertolak	belakang	2
itu_sangat_bertolak_belakang_dengan	itu	sangat	bertolak	belakang	dengan	2
kamera_belakang_12MP_dan_kamera	kamera	belakang	12MP	dan	kamera	2
