ngram	w1	w2
itu_datang	itu	datang
datang_ke	datang	ke
indah_datang	indah	datang
datang_dari	datang	dari
untuk_datang	untuk	datang
datang_ke	datang	ke
ke_datang	ke	datang
datang_dikubur-kubur	datang	dikubur-kubur
truk_datang	truk	datang
datang_ke	datang	ke
kali_datang	kali	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_dari	datang	dari
yang_datang	yang	datang
datang_dari	datang	dari
diduga_datang	diduga	datang
datang_dari	datang	dari
hitam_datang	hitam	datang
datang_dengan	datang	dengan
sebelumnya_datang	sebelumnya	datang
datang_bersama	datang	bersama
dorang_datang	dorang	datang
datang_ulang	datang	ulang
yang_datang	yang	datang
datang_ke	datang	ke
sering_datang	sering	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_dari	datang	dari
selamat_datang	selamat	datang
datang_oleh	datang	oleh
akan_datang	akan	datang
yang_datang	yang	datang
datang_dari	datang	dari
yang_datang	yang	datang
datang_dari	datang	dari
akan_datang	akan	datang
yang_datang	yang	datang
datang_dari	datang	dari
juga_datang	juga	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_langsung	datang	langsung
yang_datang	yang	datang
datang_kata	datang	kata
yang_datang	yang	datang
datang_dan	datang	dan
yang_datang	yang	datang
datang_ke	datang	ke
nda_datang	nda	datang
datang_kong	datang	kong
untuk_datang	untuk	datang
datang_ke	datang	ke
rintangan_datang	rintangan	datang
datang_silih	datang	silih
itu_datang	itu	datang
datang_dari	datang	dari
yang_datang	yang	datang
datang_pada	datang	pada
akan_datang	akan	datang
datang_janganlah	datang	janganlah
yang_datang	yang	datang
datang_Minggu	datang	Minggu
telat_datang	telat	datang
datang_dan	datang	dan
akan_datang	akan	datang
dia_datang	dia	datang
datang_Sabtu	datang	Sabtu
un-tuk_datang	un-tuk	datang
datang_ke	datang	ke
untuk_datang	untuk	datang
datang_latihan	datang	latihan
Avanza_datang	Avanza	datang
datang_dan	datang	dan
yang_datang	yang	datang
datang_ke	datang	ke
untuk_datang	untuk	datang
datang_terangnya	datang	terangnya
penyeimbang_datang	penyeimbang	datang
datang_pada	datang	pada
yang_datang	yang	datang
datang_ke	datang	ke
sengaja_datang	sengaja	datang
datang_ke	datang	ke
tiba-tiba_datang	tiba-tiba	datang
datang_menawarkan	datang	menawarkan
Indonesia_datang	Indonesia	datang
datang_dari	datang	dari
yang_datang	yang	datang
datang_dari	datang	dari
Kolintang_datang	Kolintang	datang
datang_dari	datang	dari
Dandim_datang	Dandim	datang
datang_ke	datang	ke
akan_datang	akan	datang
yang_datang	yang	datang
datang_untuk	datang	untuk
hambatan_datang	hambatan	datang
datang_dan	datang	dan
khusus_datang	khusus	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_membantu	datang	membantu
kalau_datang	kalau	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_dari	datang	dari
akan_datang	akan	datang
datang_sehabis	datang	sehabis
yang_datang	yang	datang
yang_datang	yang	datang
datang_membawa	datang	membawa
akan_datang	akan	datang
datang_lagi	datang	lagi
tadi_datang	tadi	datang
datang_sampakkeun	datang	sampakkeun
yang_datang	yang	datang
datang_sekadar	datang	sekadar
setelah_datang	setelah	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_bergerombol	datang	bergerombol
yang_datang	yang	datang
datang_sendiri-sendiri	datang	sendiri-sendiri
yang_datang	yang	datang
datang_dan	datang	dan
yang_datang	yang	datang
datang_dari	datang	dari
yang_datang	yang	datang
datang_dengan	datang	dengan
yang_datang	yang	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_membawa	datang	membawa
untuk_datang	untuk	datang
datang_ke	datang	ke
sudah_datang	sudah	datang
datang_di	datang	di
duka_datang	duka	datang
datang_dari	datang	dari
duka_datang	duka	datang
datang_dari	datang	dari
Widjaja_datang	Widjaja	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_bersama	datang	bersama
pernah_datang	pernah	datang
datang_ke	datang	ke
ak-an_datang	ak-an	datang
karena_datang	karena	datang
datang_dengan	datang	dengan
akan_datang	akan	datang
datang_ujar	datang	ujar
nanti_datang	nanti	datang
datang_aku	datang	aku
ikut_datang	ikut	datang
yang_datang	yang	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_ke	datang	ke
akan_datang	akan	datang
yang_datang	yang	datang
datang_ke	datang	ke
Agus_datang	Agus	datang
datang_bersama	datang	bersama
bersangkutan_datang	bersangkutan	datang
datang_untuk	datang	untuk
sempat_datang	sempat	datang
datang_di	datang	di
yang_datang	yang	datang
datang_merupakan	datang	merupakan
Ahok_datang	Ahok	datang
datang_dengan	datang	dengan
Ahok_datang	Ahok	datang
datang_ke	datang	ke
Ahok_datang	Ahok	datang
datang_menumpang	datang	menumpang
Ahok_datang	Ahok	datang
datang_tanpa	datang	tanpa
ini_datang	ini	datang
datang_dari	datang	dari
sudah_datang	sudah	datang
datang_ke	datang	ke
akan_datang	akan	datang
datang_meski	datang	meski
Basuki_datang	Basuki	datang
datang_sekitar	datang	sekitar
akan_datang	akan	datang
panjang_datang	panjang	datang
datang_pada	datang	pada
terus_datang	terus	datang
Air_datang	Air	datang
datang_ke	datang	ke
paus_datang	paus	datang
datang_untuk	datang	untuk
yang_datang	yang	datang
datang_saat	datang	saat
ini_datang	ini	datang
datang_dari	datang	dari
akan_datang	akan	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_dari	datang	dari
akan_datang	akan	datang
yang_datang	yang	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_ke	datang	ke
Patai_datang	Patai	datang
datang_berkunjung	datang	berkunjung
akan_datang	akan	datang
datang_jika	datang	jika
akan_datang	akan	datang
datang_nanti	datang	nanti
hanya_datang	hanya	datang
datang_hari	datang	hari
tidak_datang	tidak	datang
datang_untuk	datang	untuk
itu_datang	itu	datang
tidak_datang	tidak	datang
datang_setiap	datang	setiap
akan_datang	akan	datang
datang_permintaan	datang	permintaan
tidak_datang	tidak	datang
datang_dan	datang	dan
pencobaan_datang	pencobaan	datang
datang_Tuhan	datang	Tuhan
selalu_datang	selalu	datang
datang_mengganggu	datang	mengganggu
Waytuba_datang	Waytuba	datang
datang_dan	datang	dan
yang_datang	yang	datang
datang_ke	datang	ke
bersedia_datang	bersedia	datang
datang_dan	datang	dan
itu_datang	itu	datang
datang_lewat	datang	lewat
untuk_datang	untuk	datang
langsung_datang	langsung	datang
datang_ke	datang	ke
akan_datang	akan	datang
yang_datang	yang	datang
datang_ke	datang	ke
bisa_datang	bisa	datang
datang_Rabu	datang	Rabu
berbondong-bondong_datang	berbondong-bondong	datang
datang_menyerbu	datang	menyerbu
akan_datang	akan	datang
datang_lagi	datang	lagi
penghujan_datang	penghujan	datang
hujan_datang	hujan	datang
datang_ba-nyak	datang	ba-nyak
akan_datang	akan	datang
datang_ujarnya	datang	ujarnya
akan_datang	akan	datang
datang_menjadi	datang	menjadi
yang_datang	yang	datang
datang_ke	datang	ke
mengejutkan_datang	mengejutkan	datang
datang_dari	datang	dari
akan_datang	akan	datang
datang_Sabtu	datang	Sabtu
Akom_datang	Akom	datang
datang_ke	datang	ke
yang_datang	yang	datang
yang_datang	yang	datang
datang_pada	datang	pada
itu_datang	itu	datang
datang_dari	datang	dari
yang_datang	yang	datang
datang_dari	datang	dari
yang_datang	yang	datang
datang_dari	datang	dari
kejadian_datang	kejadian	datang
datang_di	datang	di
protes_datang	protes	datang
datang_dari	datang	dari
untuk_datang	untuk	datang
datang_ke	datang	ke
pekerjanya_datang	pekerjanya	datang
datang_dari	datang	dari
setelah_datang	setelah	datang
datang_ke	datang	ke
Aku_datang	Aku	datang
datang_hanya	datang	hanya
Aku_datang	Aku	datang
datang_ke	datang	ke
Aku_datang	Aku	datang
datang_kembali	datang	kembali
Aku_datang	Aku	datang
datang_ke	datang	ke
dia_datang	dia	datang
datang_menjumpaiku	datang	menjumpaiku
pernah_datang	pernah	datang
datang_ke	datang	ke
aku_datang	aku	datang
datang_mengucapkan	datang	mengucapkan
mendukungnya_datang	mendukungnya	datang
datang_mengetuk	datang	mengetuk
yang_datang	yang	datang
datang_dari	datang	dari
yang_datang	yang	datang
datang_bersama	datang	bersama
dan_datang	dan	datang
datang_ke	datang	ke
saat_datang	saat	datang
datang_ke	datang	ke
Jessica_datang	Jessica	datang
datang_lebih	datang	lebih
mereka_datang	mereka	datang
datang_ke	datang	ke
dipaksa_datang	dipaksa	datang
datang_ke	datang	ke
peziarah_datang	peziarah	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_dan	datang	dan
yang_datang	yang	datang
datang_dari	datang	dari
akan_datang	akan	datang
datang_ujar	datang	ujar
berkesempatan_datang	berkesempatan	datang
datang_melihat	datang	melihat
bisa_datang	bisa	datang
datang_ke	datang	ke
yang_datang	yang	datang
datang_secara	datang	secara
gol_datang	gol	datang
datang_juga	datang	juga
dia_datang	dia	datang
datang_ke	datang	ke
nyata_datang	nyata	datang
datang_pada	datang	pada
Almarhum_datang	Almarhum	datang
datang_ke	datang	ke
Jumat_datang	Jumat	datang
datang_dalam	datang	dalam
masa_datang	masa	datang
datang_dewan	datang	dewan
kembali_datang	kembali	datang
datang_untuk	datang	untuk
kali_datang	kali	datang
datang_untuk	datang	untuk
juga_datang	juga	datang
datang_untuk	datang	untuk
sempat_datang	sempat	datang
