ngram	w1	w2	w3
waktu_itu_datang	waktu	itu	datang
itu_datang_ke	itu	datang	ke
datang_ke_Poltabes	datang	ke	Poltabes
yang_indah_datang	yang	indah	datang
indah_datang_dari	indah	datang	dari
datang_dari_Giovanni	datang	dari	Giovanni
FH_untuk_datang	FH	untuk	datang
untuk_datang_ke	untuk	datang	ke
datang_ke_kantor	datang	ke	kantor
abad_ke_datang	abad	ke	datang
ke_datang_dikubur-kubur	ke	datang	dikubur-kubur
datang_dikubur-kubur_di	datang	dikubur-kubur	di
sekitar_truk_datang	sekitar	truk	datang
truk_datang_ke	truk	datang	ke
datang_ke_sebuah	datang	ke	sebuah
pertama_kali_datang	pertama	kali	datang
kali_datang_ke	kali	datang	ke
datang_ke_Nou	datang	ke	Nou
lintas_yang_datang	lintas	yang	datang
yang_datang_dari	yang	datang	dari
datang_dari_arah	datang	dari	arah
Arus_yang_datang	Arus	yang	datang
yang_datang_dari	yang	datang	dari
datang_dari_Jl	datang	dari	Jl
yang_diduga_datang	yang	diduga	datang
diduga_datang_dari	diduga	datang	dari
datang_dari_Tiongkok	datang	dari	Tiongkok
bercelana_hitam_datang	bercelana	hitam	datang
hitam_datang_dengan	hitam	datang	dengan
datang_dengan_menunggangi	datang	dengan	menunggangi
itu_sebelumnya_datang	itu	sebelumnya	datang
sebelumnya_datang_bersama	sebelumnya	datang	bersama
datang_bersama_dua	datang	bersama	dua
perkawinan_dorang_datang	perkawinan	dorang	datang
dorang_datang_ulang	dorang	datang	ulang
datang_ulang_di	datang	ulang	di
wisatawan_yang_datang	wisatawan	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_Jogja	datang	ke	Jogja
Jake_sering_datang	Jake	sering	datang
sering_datang_ke	sering	datang	ke
datang_ke_tempat	datang	ke	tempat
alumni_yang_datang	alumni	yang	datang
yang_datang_dari	yang	datang	dari
ucap-an_selamat_datang	ucap-an	selamat	datang
selamat_datang_oleh	selamat	datang	oleh
datang_oleh_Suto-mo	datang	oleh	Suto-mo
yang_akan_datang	yang	akan	datang
wirausaha_yang_datang	wirausaha	yang	datang
yang_datang_dari	yang	datang	dari
datang_dari_berbagai	datang	dari	berbagai
SVR-JWS_yang_datang	SVR-JWS	yang	datang
yang_datang_dari	yang	datang	dari
datang_dari_Tondano	datang	dari	Tondano
masa_akan_datang	masa	akan	datang
bikers_yang_datang	bikers	yang	datang
yang_datang_dari	yang	datang	dari
datang_dari_anggota	datang	dari	anggota
yang_juga_datang	yang	juga	datang
juga_datang_ke	juga	datang	ke
datang_ke_dispendik	datang	ke	dispendik
Sleman_yang_datang	Sleman	yang	datang
yang_datang_langsung	yang	datang	langsung
datang_langsung_ke	datang	langsung	ke
perusahaan_yang_datang	perusahaan	yang	datang
yang_datang_kata	yang	datang	kata
datang_kata_Pranyata	datang	kata	Pranyata
polisi_yang_datang	polisi	yang	datang
yang_datang_dan	yang	datang	dan
datang_dan_kami	datang	dan	kami
mancanegara_yang_datang	mancanegara	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_Indonesia	datang	ke	Indonesia
Karya_nda_datang	Karya	nda	datang
nda_datang_kong	nda	datang	kong
datang_kong_kase	datang	kong	kase
public_untuk_datang	public	untuk	datang
untuk_datang_ke	untuk	datang	ke
datang_ke_sana	datang	ke	sana
banyak_rintangan_datang	banyak	rintangan	datang
rintangan_datang_silih	rintangan	datang	silih
datang_silih_berganti	datang	silih	berganti
ujian_itu_datang	ujian	itu	datang
itu_datang_dari	itu	datang	dari
datang_dari_internal	datang	dari	internal
keluarga_yang_datang	keluarga	yang	datang
yang_datang_pada	yang	datang	pada
datang_pada_kami	datang	pada	kami
Presiden_akan_datang	Presiden	akan	datang
akan_datang_janganlah	akan	datang	janganlah
datang_janganlah_kita	datang	janganlah	kita
juga_yang_datang	juga	yang	datang
yang_datang_Minggu	yang	datang	Minggu
datang_Minggu_pagi	datang	Minggu	pagi
api_telat_datang	api	telat	datang
telat_datang_dan	telat	datang	dan
datang_dan_kemalaman	datang	dan	kemalaman
yang_akan_datang	yang	akan	datang
Persma_dia_datang	Persma	dia	datang
dia_datang_Sabtu	dia	datang	Sabtu
datang_Sabtu_pekan	datang	Sabtu	pekan
BKDD_un-tuk_datang	BKDD	un-tuk	datang
un-tuk_datang_ke	un-tuk	datang	ke
datang_ke_aula	datang	ke	aula
anak_untuk_datang	anak	untuk	datang
untuk_datang_latihan	untuk	datang	latihan
datang_latihan_angkat	datang	latihan	angkat
Toyota_Avanza_datang	Toyota	Avanza	datang
Avanza_datang_dan	Avanza	datang	dan
datang_dan_menurunkan	datang	dan	menurunkan
wisatawan_yang_datang	wisatawan	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_Lombok	datang	ke	Lombok
wisatawan_untuk_datang	wisatawan	untuk	datang
untuk_datang_terangnya	untuk	datang	terangnya
gol_penyeimbang_datang	gol	penyeimbang	datang
penyeimbang_datang_pada	penyeimbang	datang	pada
datang_pada_akhir	datang	pada	akhir
masyarakat_yang_datang	masyarakat	yang	datang
yang_datang_ke	yang	datang	ke
datang_ke_MPR	datang	ke	MPR
memang_sengaja_datang	memang	sengaja	datang
