ngram	w1	w2	w3	w4
pada_waktu_itu_datang	pada	waktu	itu	datang
waktu_itu_datang_ke	waktu	itu	datang	ke
itu_datang_ke_Poltabes	itu	datang	ke	Poltabes
datang_ke_Poltabes_Manado	datang	ke	Poltabes	Manado
gol_yang_indah_datang	gol	yang	indah	datang
yang_indah_datang_dari	yang	indah	datang	dari
indah_datang_dari_Giovanni	indah	datang	dari	Giovanni
datang_dari_Giovanni_memanfaatkan	datang	dari	Giovanni	memanfaatkan
memanggil_FH_untuk_datang	memanggil	FH	untuk	datang
FH_untuk_datang_ke	FH	untuk	datang	ke
untuk_datang_ke_kantor	untuk	datang	ke	kantor
datang_ke_kantor_DPTP	datang	ke	kantor	DPTP
permulaan_abad_ke_datang	permulaan	abad	ke	datang
abad_ke_datang_dikubur-kubur	abad	ke	datang	dikubur-kubur
ke_datang_dikubur-kubur_di	ke	datang	dikubur-kubur	di
datang_dikubur-kubur_di_tanjung	datang	dikubur-kubur	di	tanjung
hari_sekitar_truk_datang	hari	sekitar	truk	datang
sekitar_truk_datang_ke	sekitar	truk	datang	ke
truk_datang_ke_sebuah	truk	datang	ke	sebuah
datang_ke_sebuah_pembangkit	datang	ke	sebuah	pembangkit
SAAT_pertama_kali_datang	SAAT	pertama	kali	datang
pertama_kali_datang_ke	pertama	kali	datang	ke
kali_datang_ke_Nou	kali	datang	ke	Nou
datang_ke_Nou_Camp	datang	ke	Nou	Camp
lalu_lintas_yang_datang	lalu	lintas	yang	datang
lintas_yang_datang_dari	lintas	yang	datang	dari
yang_datang_dari_arah	yang	datang	dari	arah
datang_dari_arah_Simpang	datang	dari	arah	Simpang
Arus_yang_datang_dari	Arus	yang	datang	dari
yang_datang_dari_Jl	yang	datang	dari	Jl
datang_dari_Jl_Cikini	datang	dari	Jl	Cikini
mini_yang_diduga_datang	mini	yang	diduga	datang
yang_diduga_datang_dari	yang	diduga	datang	dari
diduga_datang_dari_Tiongkok	diduga	datang	dari	Tiongkok
datang_dari_Tiongkok_biasa	datang	dari	Tiongkok	biasa
dan_bercelana_hitam_datang	dan	bercelana	hitam	datang
bercelana_hitam_datang_dengan	bercelana	hitam	datang	dengan
hitam_datang_dengan_menunggangi	hitam	datang	dengan	menunggangi
datang_dengan_menunggangi_kuda	datang	dengan	menunggangi	kuda
ABG_itu_sebelumnya_datang	ABG	itu	sebelumnya	datang
itu_sebelumnya_datang_bersama	itu	sebelumnya	datang	bersama
sebelumnya_datang_bersama_dua	sebelumnya	datang	bersama	dua
datang_bersama_dua_orang	datang	bersama	dua	orang
aca-ra_perkawinan_dorang_datang	aca-ra	perkawinan	dorang	datang
perkawinan_dorang_datang_ulang	perkawinan	dorang	datang	ulang
dorang_datang_ulang_di	dorang	datang	ulang	di
datang_ulang_di_Manado	datang	ulang	di	Manado
minimnya_wisatawan_yang_datang	minimnya	wisatawan	yang	datang
wisatawan_yang_datang_ke	wisatawan	yang	datang	ke
yang_datang_ke_Jogja	yang	datang	ke	Jogja
bahwa_Jake_sering_datang	bahwa	Jake	sering	datang
Jake_sering_datang_ke	Jake	sering	datang	ke
sering_datang_ke_tempat	sering	datang	ke	tempat
datang_ke_tempat_tersebut	datang	ke	tempat	tersebut
dari_alumni_yang_datang	dari	alumni	yang	datang
alumni_yang_datang_dari	alumni	yang	datang	dari
diawali_ucap-an_selamat_datang	diawali	ucap-an	selamat	datang
ucap-an_selamat_datang_oleh	ucap-an	selamat	datang	oleh
selamat_datang_oleh_Suto-mo	selamat	datang	oleh	Suto-mo
datang_oleh_Suto-mo_Karinda	datang	oleh	Suto-mo	Karinda
Desember_yang_akan_datang	Desember	yang	akan	datang
calon_wirausaha_yang_datang	calon	wirausaha	yang	datang
wirausaha_yang_datang_dari	wirausaha	yang	datang	dari
yang_datang_dari_berbagai	yang	datang	dari	berbagai
datang_dari_berbagai_wilayah	datang	dari	berbagai	wilayah
pendukung_SVR-JWS_yang_datang	pendukung	SVR-JWS	yang	datang
SVR-JWS_yang_datang_dari	SVR-JWS	yang	datang	dari
yang_datang_dari_Tondano	yang	datang	dari	Tondano
datang_dari_Tondano_dan	datang	dari	Tondano	dan
di_masa_akan_datang	di	masa	akan	datang
dari_bikers_yang_datang	dari	bikers	yang	datang
bikers_yang_datang_dari	bikers	yang	datang	dari
yang_datang_dari_anggota	yang	datang	dari	anggota
datang_dari_anggota_Asosiasi	datang	dari	anggota	Asosiasi
GTT_yang_juga_datang	GTT	yang	juga	datang
yang_juga_datang_ke	yang	juga	datang	ke
juga_datang_ke_dispendik	juga	datang	ke	dispendik
datang_ke_dispendik_mengungkapkan	datang	ke	dispendik	mengungkapkan
PSS_Sleman_yang_datang	PSS	Sleman	yang	datang
Sleman_yang_datang_langsung	Sleman	yang	datang	langsung
yang_datang_langsung_ke	yang	datang	langsung	ke
datang_langsung_ke_Bali	datang	langsung	ke	Bali
Ada_perusahaan_yang_datang	Ada	perusahaan	yang	datang
perusahaan_yang_datang_kata	perusahaan	yang	datang	kata
yang_datang_kata_Pranyata	yang	datang	kata	Pranyata
Ada_polisi_yang_datang	Ada	polisi	yang	datang
polisi_yang_datang_dan	polisi	yang	datang	dan
yang_datang_dan_kami	yang	datang	dan	kami
datang_dan_kami_persilakan	datang	dan	kami	persilakan
wisatawan_mancanegara_yang_datang	wisatawan	mancanegara	yang	datang
mancanegara_yang_datang_ke	mancanegara	yang	datang	ke
yang_datang_ke_Indonesia	yang	datang	ke	Indonesia
datang_ke_Indonesia_itu	datang	ke	Indonesia	itu
Hutama_Karya_nda_datang	Hutama	Karya	nda	datang
Karya_nda_datang_kong	Karya	nda	datang	kong
nda_datang_kong_kase	nda	datang	kong	kase
datang_kong_kase_batal	datang	kong	kase	batal
tarik_public_untuk_datang	tarik	public	untuk	datang
public_untuk_datang_ke	public	untuk	datang	ke
untuk_datang_ke_sana	untuk	datang	ke	sana
Ada_banyak_rintangan_datang	Ada	banyak	rintangan	datang
banyak_rintangan_datang_silih	banyak	rintangan	datang	silih
rintangan_datang_silih_berganti	rintangan	datang	silih	berganti
datang_silih_berganti_bahkan	datang	silih	berganti	bahkan
bahkan_ujian_itu_datang	bahkan	ujian	itu	datang
ujian_itu_datang_dari	ujian	itu	datang	dari
itu_datang_dari_internal	itu	datang	dari	internal
datang_dari_internal_keluarga	datang	dari	internal	keluarga
bebe-rapa_keluarga_yang_datang	bebe-rapa	keluarga	yang	datang
keluarga_yang_datang_pada	keluarga	yang	datang	pada
yang_datang_pada_kami	yang	datang	pada	kami
datang_pada_kami_dan	datang	pada	kami	dan
info_Presiden_akan_datang	info	Presiden	akan	datang
Presiden_akan_datang_janganlah	Presiden	akan	datang	janganlah
akan_datang_janganlah_kita	akan	datang	janganlah	kita
datang_janganlah_kita_bilang	datang	janganlah	kita	bilang
Ada_juga_yang_datang	Ada	juga	yang	datang
juga_yang_datang_Minggu	juga	yang	datang	Minggu
yang_datang_Minggu_pagi	yang	datang	Minggu	pagi
datang_Minggu_pagi_ujarnya	datang	Minggu	pagi	ujarnya
kereta_api_telat_datang	kereta	api	telat	datang
api_telat_datang_dan	api	telat	datang	dan
telat_datang_dan_kemalaman	telat	datang	dan	kemalaman
pemilu_yang_akan_datang	pemilu	yang	akan	datang
dengan_Persma_dia_datang	dengan	Persma	dia	datang
Persma_dia_datang_Sabtu	Persma	dia	datang	Sabtu
dia_datang_Sabtu_pekan	dia	datang	Sabtu	pekan
datang_Sabtu_pekan_lalu	datang	Sabtu	pekan	lalu
Daerah_BKDD_un-tuk_datang	Daerah	BKDD	un-tuk	datang
BKDD_un-tuk_datang_ke	BKDD	un-tuk	datang	ke
un-tuk_datang_ke_aula	un-tuk	datang	ke	aula
datang_ke_aula_kantor	datang	ke	aula	kantor
ongkos_anak_untuk_datang	ongkos	anak	untuk	datang
anak_untuk_datang_latihan	anak	untuk	datang	latihan
untuk_datang_latihan_angkat	untuk	datang	latihan	angkat
datang_latihan_angkat_besi	datang	latihan	angkat	besi
mobil_Toyota_Avanza_datang	mobil	Toyota	Avanza	datang
Toyota_Avanza_datang_dan	Toyota	Avanza	datang	dan
Avanza_datang_dan_menurunkan	Avanza	datang	dan	menurunkan
datang_dan_menurunkan_sejumlah	datang	dan	menurunkan	sejumlah
para_wisatawan_yang_datang	para	wisatawan	yang	datang
wisatawan_yang_datang_ke	wisatawan	yang	datang	ke
yang_datang_ke_Lombok	yang	datang	ke	Lombok
datang_ke_Lombok_menurut	datang	ke	Lombok	menurut
menarik_wisatawan_untuk_datang	menarik	wisatawan	untuk	datang
wisatawan_untuk_datang_terangnya	wisatawan	untuk	datang	terangnya
karena_gol_penyeimbang_datang	karena	gol	penyeimbang	datang
gol_penyeimbang_datang_pada	gol	penyeimbang	datang	pada
penyeimbang_datang_pada_akhir	penyeimbang	datang	pada	akhir
datang_pada_akhir_laga	datang	pada	akhir	laga
pula_masyarakat_yang_datang	pula	masyarakat	yang	datang
masyarakat_yang_datang_ke	masyarakat	yang	datang	ke
yang_datang_ke_MPR	yang	datang	ke	MPR
datang_ke_MPR_menyatakan	datang	ke	MPR	menyatakan
yang_memang_sengaja_datang	yang	memang	sengaja	datang
