ngram	w1	w2	n
ke_depan	ke	depan	3138
di_depan	di	depan	2285
masa_depan	masa	depan	1392
tahun_depan	tahun	depan	1317
pekan_depan	pekan	depan	793
ke_depannya	ke	depannya	430
depan_akan	depan	akan	292
musim_depan	musim	depan	235
depan_yang	depan	yang	212
depan_dan	depan	dan	200
lini_depan	lini	depan	173
bagian_depan	bagian	depan	160
bulan_depan	bulan	depan	155
depan_kata	depan	kata	146
depan_mata	depan	mata	144
minggu_depan	minggu	depan	143
depan_kami	depan	kami	125
depan_untuk	depan	untuk	120
depan_rumah	depan	rumah	118
depan_kita	depan	kita	112
depan_bisa	depan	bisa	108
di_depannya	di	depannya	102
masa_depannya	masa	depannya	100
depan_tidak	depan	tidak	98
depan_dengan	depan	dengan	91
depan_bangsa	depan	bangsa	90
depan_pintu	depan	pintu	85
depan_sudah	depan	sudah	85
depan_kantor	depan	kantor	80
depan_di	depan	di	78
depan_katanya	depan	katanya	78
depan_nanti	depan	nanti	77
depan_gawang	depan	gawang	75
depan_ujar	depan	ujar	71
depan_saya	depan	saya	68
depan_mereka	depan	mereka	67
terdepan_dalam	terdepan	dalam	66
depan_para	depan	para	65
kamera_depan	kamera	depan	64
dari_depan	dari	depan	61
garda_terdepan	garda	terdepan	60
depan_ada	depan	ada	59
halaman_depan	halaman	depan	57
yang_mengedepankan	yang	mengedepankan	56
depan_publik	depan	publik	55
depan_masih	depan	masih	53
depan_gedung	depan	gedung	52
depan_karena	depan	karena	50
depan_umum	depan	umum	49
dengan_mengedepankan	dengan	mengedepankan	48
depan_harus	depan	harus	47
depan_lebih	depan	lebih	47
paling_depan	paling	depan	45
depan_adalah	depan	adalah	43
pemain_depan	pemain	depan	43
tahun_kedepan	tahun	kedepan	43
garis_depan	garis	depan	42
depan_ini	depan	ini	41
lebih_mengedepankan	lebih	mengedepankan	41
tetap_mengedepankan	tetap	mengedepankan	39
depan_itu	depan	itu	37
depan_rumahnya	depan	rumahnya	36
depan_dapat	depan	dapat	35
depan_juga	depan	juga	35
terdepan_di	terdepan	di	35
depan_atau	depan	atau	33
depannya_akan	depannya	akan	33
hari_kedepan	hari	kedepan	33
dan_depan	dan	depan	32
depan_pemerintah	depan	pemerintah	31
depan_ujarnya	depan	ujarnya	31
mengedepankan_kepentingan	mengedepankan	kepentingan	31
selalu_mengedepankan	selalu	mengedepankan	31
barisan_depan	barisan	depan	29
depan_anak	depan	anak	29
depan_menjadi	depan	menjadi	29
depan_gerbang	depan	gerbang	28
depan_mobil	depan	mobil	28
pintu_depan	pintu	depan	28
ban_depan	ban	depan	27
depan_dalam	depan	dalam	27
depan_diharapkan	depan	diharapkan	27
posisi_terdepan	posisi	terdepan	27
depan_toko	depan	toko	26
harus_dikedepankan	harus	dikedepankan	26
harus_mengedepankan	harus	mengedepankan	26
yang_terdepan	yang	terdepan	26
depan_pihaknya	depan	pihaknya	25
depannya_kata	depannya	kata	25
jalan_depan	jalan	depan	25
terdepan_untuk	terdepan	untuk	25
depan_sehingga	depan	sehingga	24
dan_mengedepankan	dan	mengedepankan	23
depan_agar	depan	agar	23
depan_dari	depan	dari	23
depan_generasi	depan	generasi	23
depan_masyarakat	depan	masyarakat	23
depan_sekolah	depan	sekolah	23
depan_panggung	depan	panggung	22
depan_pekan	depan	pekan	22
mengedepankan_asas	mengedepankan	asas	22
depan_anak-anak	depan	anak-anak	21
depan_ia	depan	ia	21
kaca_depan	kaca	depan	21
depan_kamera	depan	kamera	20
depan_pada	depan	pada	20
depan_tim	depan	tim	20
ta-hun_depan	ta-hun	depan	20
depan_setelah	depan	setelah	19
depan_ungkap	depan	ungkap	19
kedepan_akan	kedepan	akan	19
pe-kan_depan	pe-kan	depan	19
akan_mengedepankan	akan	mengedepankan	18
depan_daerah	depan	daerah	18
depan_kalau	depan	kalau	18
depan_seluruh	depan	seluruh	18
depan_tandasnya	depan	tandasnya	18
depan_yakni	depan	yakni	18
bulan_kedepan	bulan	kedepan	17
depan_maka	depan	maka	17
depan_sebuah	depan	sebuah	17
depan_tak	depan	tak	17
agar_kedepan	agar	kedepan	16
depan_dia	depan	dia	16
depan_kelas	depan	kelas	16
depan_majelis	depan	majelis	16
tidak_mengedepankan	tidak	mengedepankan	16
untuk_mengedepankan	untuk	mengedepankan	16
yang_dikedepankan	yang	dikedepankan	16
depan_bakal	depan	bakal	15
depan_dirinya	depan	dirinya	15
depan_jelasnya	depan	jelasnya	15
depan_peserta	depan	peserta	15
depan_tuturnya	depan	tuturnya	15
roda_depan	roda	depan	15
start_terdepan	start	terdepan	15
terdepan_dan	terdepan	dan	15
depan_bagi	depan	bagi	14
depan_hingga	depan	hingga	14
depan_lanjut	depan	lanjut	14
depan_masjid	depan	masjid	14
depan_pasar	depan	pasar	14
depan_pungkasnya	depan	pungkasnya	14
depan_ruang	depan	ruang	14
depan_sebagai	depan	sebagai	14
depan_semua	depan	semua	14
depan_tapi	depan	tapi	14
depan_tutur	depan	tutur	14
depan_baru	depan	baru	13
depan_dunia	depan	dunia	13
depan_jelas	depan	jelas	13
depan_ke	depan	ke	13
depan_namun	depan	namun	13
depan_perlu	depan	perlu	13
depan_ratusan	depan	ratusan	13
depan_rencananya	depan	rencananya	13
depan_seperti	depan	seperti	13
depan_tandas	depan	tandas	13
didepan_mata	didepan	mata	13
kedepan_bisa	kedepan	bisa	13
kedepannya_akan	kedepannya	akan	13
arah_depan	arah	depan	12
depan_hukum	depan	hukum	12
depan_mulai	depan	mulai	12
depan_negara	depan	negara	12
depan_semakin	depan	semakin	12
depan_tegas	depan	tegas	12
depan_tukas	depan	tukas	12
depan_ungkapnya	depan	ungkapnya	12
depannya_kami	depannya	kami	12
depannya_yang	depannya	yang	12
hingga_depan	hingga	depan	12
depan_banyak	depan	banyak	11
depan_forum	depan	forum	11
depan_gereja	depan	gereja	11
depan_jadi	depan	jadi	11
depan_jika	depan	jika	11
depan_makin	depan	makin	11
depan_mungkin	depan	mungkin	11
depan_sangat	depan	sangat	11
depan_tukasnya	depan	tukasnya	11
depannya_bisa	depannya	bisa	11
garis_terdepan	garis	terdepan	11
hari_depan	hari	depan	11
kedepan_untuk	kedepan	untuk	11
ma-sa_depan	ma-sa	depan	11
mengedepankan_aspek	mengedepankan	aspek	11
sampai_depan	sampai	depan	11
sisi_depan	sisi	depan	11
baris_terdepan	baris	terdepan	10
barisan_terdepan	barisan	terdepan	10
beranda_depan	beranda	depan	10
depan_5MP	depan	5MP	10
depan_anggota	depan	anggota	10
depan_belakang	depan	belakang	10
depan_hari	depan	hari	10
depan_kotak	depan	kotak	10
depan_lanjutnya	depan	lanjutnya	10
depan_nantinya	depan	nantinya	10
depan_papar	depan	papar	10
depan_program	depan	program	10
depan_ribuan	depan	ribuan	10
depan_ruangan	depan	ruangan	10
depan_sejumlah	depan	sejumlah	10
depan_serta	depan	serta	10
