ngram	w1	w2	w3	n
tahun_ke_depan	tahun	ke	depan	431
di_masa_depan	di	masa	depan	268
hari_ke_depan	hari	ke	depan	205
bulan_ke_depan	bulan	ke	depan	201
di_depan_mata	di	depan	mata	144
pada_tahun_depan	pada	tahun	depan	135
ke_depan_akan	ke	depan	akan	134
berada_di_depan	berada	di	depan	96
masa_depan_yang	masa	depan	yang	96
masa_depan_bangsa	masa	depan	bangsa	86
pada_pekan_depan	pada	pekan	depan	84
untuk_masa_depan	untuk	masa	depan	83
di_depan_rumah	di	depan	rumah	74
di_lini_depan	di	lini	depan	73
di_depan_pintu	di	depan	pintu	69
agar_ke_depan	agar	ke	depan	68
di_depan_kantor	di	depan	kantor	61
tepat_di_depan	tepat	di	depan	61
ke_depan_nanti	ke	depan	nanti	60
ke_depan_untuk	ke	depan	untuk	60
tahun_depan_akan	tahun	depan	akan	60
di_bagian_depan	di	bagian	depan	59
ke_depan_bisa	ke	depan	bisa	59
di_depan_gawang	di	depan	gawang	57
ke_depan_tidak	ke	depan	tidak	56
berharap_ke_depan	berharap	ke	depan	55
ada_di_depan	ada	di	depan	54
ke_depan_kata	ke	depan	kata	54
di_depan_publik	di	depan	publik	52
awal_tahun_depan	awal	tahun	depan	51
dan_masa_depan	dan	masa	depan	51
depan_yang_lebih	depan	yang	lebih	50
pekan_ke_depan	pekan	ke	depan	50
sudah_di_depan	sudah	di	depan	50
di_depan_umum	di	depan	umum	48
ke_depan_dan	ke	depan	dan	46
di_tahun_depan	di	tahun	depan	44
depan_kami_akan	depan	kami	akan	43
tepatnya_di_depan	tepatnya	di	depan	43
depan_dan_belakang	depan	dan	belakang	42
ke_depan_katanya	ke	depan	katanya	42
ke_depan_yang	ke	depan	yang	40
minggu_ke_depan	minggu	ke	depan	40
di_depan_gedung	di	depan	gedung	37
berbicara_di_depan	berbicara	di	depan	36
di_halaman_depan	di	halaman	depan	36
untuk_tahun_depan	untuk	tahun	depan	36
itu_ke_depan	itu	ke	depan	35
ini_ke_depan	ini	ke	depan	34
pada_masa_depan	pada	masa	depan	34
