ngram	w1	w2	w3	w4	n
lima_tahun_ke_depan	lima	tahun	ke	depan	135
beberapa_hari_ke_depan	beberapa	hari	ke	depan	68
sudah_di_depan_mata	sudah	di	depan	mata	50
tiga_bulan_ke_depan	tiga	bulan	ke	depan	45
beberapa_tahun_ke_depan	beberapa	tahun	ke	depan	40
masa_depan_yang_lebih	masa	depan	yang	lebih	39
dua_tahun_ke_depan	dua	tahun	ke	depan	36
tiga_tahun_ke_depan	tiga	tahun	ke	depan	36
depan_yang_lebih_baik	depan	yang	lebih	baik	33
enam_bulan_ke_depan	enam	bulan	ke	depan	32
yang_ada_di_depan	yang	ada	di	depan	30
beberapa_bulan_ke_depan	beberapa	bulan	ke	depan	28
empat_tahun_ke_depan	empat	tahun	ke	depan	27
tiga_hari_ke_depan	tiga	hari	ke	depan	26
dua_bulan_ke_depan	dua	bulan	ke	depan	23
yang_berada_di_depan	yang	berada	di	depan	22
beberapa_pekan_ke_depan	beberapa	pekan	ke	depan	21
depan_pekan_ini_red	depan	pekan	ini	red	21
di_depan_pintu_masuk	di	depan	pintu	masuk	21
hingga_tahun_ke_depan	hingga	tahun	ke	depan	20
ada_di_depan_mata	ada	di	depan	mata	18
dua_hari_ke_depan	dua	hari	ke	depan	18
ke_depan_akan_lebih	ke	depan	akan	lebih	18
dua_pekan_ke_depan	dua	pekan	ke	depan	17
satu_tahun_ke_depan	satu	tahun	ke	depan	17
dalam_tahun_ke_depan	dalam	tahun	ke	depan	15
dua_minggu_ke_depan	dua	minggu	ke	depan	15
pekan_depan_pekan_ini	pekan	depan	pekan	ini	15
akan_digelar_pekan_depan	akan	digelar	pekan	depan	14
depan_tidak_ada_lagi	depan	tidak	ada	lagi	14
unjuk_rasa_di_depan	unjuk	rasa	di	depan	14
yang_sudah_di_depan	yang	sudah	di	depan	14
di_depan_gawang_lawan	di	depan	gawang	lawan	12
ke_depan_tidak_ada	ke	depan	tidak	ada	12
kemelut_di_depan_gawang	kemelut	di	depan	gawang	12
lebih_baik_ke_depannya	lebih	baik	ke	depannya	12
masa_depan_bangsa_dan	masa	depan	bangsa	dan	12
sampai_tahun_ke_depan	sampai	tahun	ke	depan	12
satu_bulan_ke_depan	satu	bulan	ke	depan	12
selama_hari_ke_depan	selama	hari	ke	depan	12
berbicara_di_depan_umum	berbicara	di	depan	umum	11
bulan_ke_depan_akan	bulan	ke	depan	akan	11
empat_bulan_ke_depan	empat	bulan	ke	depan	11
hingga_hari_ke_depan	hingga	hari	ke	depan	11
ke_depan_akan_semakin	ke	depan	akan	semakin	11
ke_depan_kami_akan	ke	depan	kami	akan	11
pekan_depan_dengan_agenda	pekan	depan	dengan	agenda	11
agar_ke_depan_tidak	agar	ke	depan	tidak	10
beberapa_minggu_ke_depan	beberapa	minggu	ke	depan	10
beberapa_waktu_ke_depan	beberapa	waktu	ke	depan	10
ke_depan_akan_ada	ke	depan	akan	ada	10
masa_depan_bangsa_ini	masa	depan	bangsa	ini	10
masa_depan_generasi_muda	masa	depan	generasi	muda	10
menjadi_garda_terdepan_dalam	menjadi	garda	terdepan	dalam	10
tahun_ke_depan_akan	tahun	ke	depan	akan	10
akan_dilaksanakan_pekan_depan	akan	dilaksanakan	pekan	depan	9
bagian_depan_dan_belakang	bagian	depan	dan	belakang	9
berada_di_garis_depan	berada	di	garis	depan	9
di_depan_majelis_hakim	di	depan	majelis	hakim	9
enam_tahun_ke_depan	enam	tahun	ke	depan	9
lebih_baik_ke_depan	lebih	baik	ke	depan	9
lima_hari_ke_depan	lima	hari	ke	depan	9
selama_tahun_ke_depan	selama	tahun	ke	depan	9
waktu_tahun_ke_depan	waktu	tahun	ke	depan	9
yang_ada_di_depannya	yang	ada	di	depannya	9
akan_dilakukan_pekan_depan	akan	dilakukan	pekan	depan	8
berada_tepat_di_depan	berada	tepat	di	depan	8
dan_kamera_depan_5MP	dan	kamera	depan	5MP	8
di_depan_publik_sendiri	di	depan	publik	sendiri	8
di_masa_depan_kata	di	masa	depan	kata	8
ke_depan_akan_menjadi	ke	depan	akan	menjadi	8
ke_depan_bisa_lebih	ke	depan	bisa	lebih	8
ke_depan_tidak_akan	ke	depan	tidak	akan	8
kini_dan_masa_depan	kini	dan	masa	depan	8
lalu_lintas_di_depan	lalu	lintas	di	depan	8
masa_depan_lebih_baik	masa	depan	lebih	baik	8
masa_depan_yang_baik	masa	depan	yang	baik	8
masa_depan_yang_cerah	masa	depan	yang	cerah	8
mengedepankan_asas_praduga_tak	mengedepankan	asas	praduga	tak	8
pada_awal_tahun_depan	pada	awal	tahun	depan	8
paling_lambat_pekan_depan	paling	lambat	pekan	depan	8
satu_minggu_ke_depan	satu	minggu	ke	depan	8
tahun_ke_depan_bisa	tahun	ke	depan	bisa	8
tahun_ke_depan_ujar	tahun	ke	depan	ujar	8
berada_di_depan_rumah	berada	di	depan	rumah	7
berunjuk_rasa_di_depan	berunjuk	rasa	di	depan	7
dalam_bulan_ke_depan	dalam	bulan	ke	depan	7
dan_di_masa_depan	dan	di	masa	depan	7
depan_akan_lebih_baik	depan	akan	lebih	baik	7
depan_hari_ini_red	depan	hari	ini	red	7
di_bagian_depan_dan	di	bagian	depan	dan	7
di_depan_publiknya_sendiri	di	depan	publiknya	sendiri	7
di_depan_rumah_korban	di	depan	rumah	korban	7
di_masa_depan_dan	di	masa	depan	dan	7
ke_depan_bisa_menjadi	ke	depan	bisa	menjadi	7
ke_depan_kata_dia	ke	depan	kata	dia	7
ke_depan_masih_akan	ke	depan	masih	akan	7
ke_depan_nanti_tidak	ke	depan	nanti	tidak	7
ke_depan_tidak_terjadi	ke	depan	tidak	terjadi	7
lima_bulan_ke_depan	lima	bulan	ke	depan	7
menjadi_yang_terdepan_dalam	menjadi	yang	terdepan	dalam	7
pada_tahun_depan_akan	pada	tahun	depan	akan	7
tahun_ke_depan_katanya	tahun	ke	depan	katanya	7
tahun_ke_depan_untuk	tahun	ke	depan	untuk	7
yang_terjadi_di_depan	yang	terjadi	di	depan	7
agar_ke_depan_lebih	agar	ke	depan	lebih	6
aral_melintang_pekan_depan	aral	melintang	pekan	depan	6
berada_di_depan_gawang	berada	di	depan	gawang	6
berada_di_garda_terdepan	berada	di	garda	terdepan	6
dalam_hari_ke_depan	dalam	hari	ke	depan	6
demi_masa_depan_anak	demi	masa	depan	anak	6
depan_anak_cucu_kita	depan	anak	cucu	kita	6
