ngram	w1	w2	w3	w4	w5	n
masa_depan_yang_lebih_baik	masa	depan	yang	lebih	baik	29
dalam_beberapa_hari_ke_depan	dalam	beberapa	hari	ke	depan	25
dalam_lima_tahun_ke_depan	dalam	lima	tahun	ke	depan	21
selama_lima_tahun_ke_depan	selama	lima	tahun	ke	depan	17
pekan_depan_pekan_ini_red	pekan	depan	pekan	ini	red	15
untuk_lima_tahun_ke_depan	untuk	lima	tahun	ke	depan	14
yang_sudah_di_depan_mata	yang	sudah	di	depan	mata	14
dalam_beberapa_tahun_ke_depan	dalam	beberapa	tahun	ke	depan	12
dalam_beberapa_bulan_ke_depan	dalam	beberapa	bulan	ke	depan	11
hingga_tiga_hari_ke_depan	hingga	tiga	hari	ke	depan	11
dalam_beberapa_pekan_ke_depan	dalam	beberapa	pekan	ke	depan	10
ke_depan_tidak_ada_lagi	ke	depan	tidak	ada	lagi	9
dalam_tiga_tahun_ke_depan	dalam	tiga	tahun	ke	depan	8
hingga_lima_tahun_ke_depan	hingga	lima	tahun	ke	depan	8
masa_kini_dan_masa_depan	masa	kini	dan	masa	depan	8
mengedepankan_asas_praduga_tak_bersalah	mengedepankan	asas	praduga	tak	bersalah	8
aksi_unjuk_rasa_di_depan	aksi	unjuk	rasa	di	depan	7
atau_tiga_tahun_ke_depan	atau	tiga	tahun	ke	depan	7
dalam_tiga_bulan_ke_depan	dalam	tiga	bulan	ke	depan	7
hingga_enam_bulan_ke_depan	hingga	enam	bulan	ke	depan	7
ada_aral_melintang_pekan_depan	ada	aral	melintang	pekan	depan	6
dalam_dua_tahun_ke_depan	dalam	dua	tahun	ke	depan	6
dalam_satu_tahun_ke_depan	dalam	satu	tahun	ke	depan	6
dalam_tiga_hari_ke_depan	dalam	tiga	hari	ke	depan	6
hingga_tiga_bulan_ke_depan	hingga	tiga	bulan	ke	depan	6
masa_depan_bangsa_dan_negara	masa	depan	bangsa	dan	negara	6
periode_lima_tahun_ke_depan	periode	lima	tahun	ke	depan	6
satu_dua_hari_ke_depan	satu	dua	hari	ke	depan	6
waktu_beberapa_hari_ke_depan	waktu	beberapa	hari	ke	depan	6
waktu_dua_tahun_ke_depan	waktu	dua	tahun	ke	depan	6
waktu_lima_tahun_ke_depan	waktu	lima	tahun	ke	depan	6
yang_berada_tepat_di_depan	yang	berada	tepat	di	depan	6
yang_lebih_baik_ke_depan	yang	lebih	baik	ke	depan	6
akan_terjadi_di_masa_depan	akan	terjadi	di	masa	depan	5
apa_yang_ada_di_depan	apa	yang	ada	di	depan	5
belakang_13MP_dan_kamera_depan	belakang	13MP	dan	kamera	depan	5
hingga_beberapa_hari_ke_depan	hingga	beberapa	hari	ke	depan	5
hingga_dua_tahun_ke_depan	hingga	dua	tahun	ke	depan	5
ke_depan_tidak_terjadi_lagi	ke	depan	tidak	terjadi	lagi	5
lima_tahun_ke_depan_akan	lima	tahun	ke	depan	akan	5
masa_depan_anak_cucu_kita	masa	depan	anak	cucu	kita	5
masa_depan_yang_lebih_cerah	masa	depan	yang	lebih	cerah	5
masih_jadi_tren_tahun_depan	masih	jadi	tren	tahun	depan	5
melakukan_unjuk_rasa_di_depan	melakukan	unjuk	rasa	di	depan	5
menentukan_wajah_masa_depan_bangsa	menentukan	wajah	masa	depan	bangsa	5
menuju_masa_depan_yang_lebih	menuju	masa	depan	yang	lebih	5
pembangunan_runway_mulai_tahun_depan	pembangunan	runway	mulai	tahun	depan	5
perusahaan_telekomunikasi_digital_terdepan_di	perusahaan	telekomunikasi	digital	terdepan	di	5
sampai_enam_bulan_ke_depan	sampai	enam	bulan	ke	depan	5
sampai_lima_tahun_ke_depan	sampai	lima	tahun	ke	depan	5
selama_beberapa_hari_ke_depan	selama	beberapa	hari	ke	depan	5
selama_enam_bulan_ke_depan	selama	enam	bulan	ke	depan	5
tahun_ini_dan_tahun_depan	tahun	ini	dan	tahun	depan	5
tetap_mengedepankan_asas_praduga_tak	tetap	mengedepankan	asas	praduga	tak	5
turut_menentukan_wajah_masa_depan	turut	menentukan	wajah	masa	depan	5
13MP_dan_kamera_depan_5MP	13MP	dan	kamera	depan	5MP	4
agar_penegak_hukum_mengedepankan_kewajiban	agar	penegak	hukum	mengedepankan	kewajiban	4
akan_digelar_pada_pekan_depan	akan	digelar	pada	pekan	depan	4
akan_dilaksanakan_pada_pekan_depan	akan	dilaksanakan	pada	pekan	depan	4
berada_di_depan_rumah_korban	berada	di	depan	rumah	korban	4
bukan_tidak_mungkin_ke_depan	bukan	tidak	mungkin	ke	depan	4
dalam_beberapa_minggu_ke_depan	dalam	beberapa	minggu	ke	depan	4
dalam_beberapa_waktu_ke_depan	dalam	beberapa	waktu	ke	depan	4
dalam_dua_bulan_ke_depan	dalam	dua	bulan	ke	depan	4
dalam_dua_pekan_ke_depan	dalam	dua	pekan	ke	depan	4
dalam_enam_bulan_ke_depan	dalam	enam	bulan	ke	depan	4
dalam_menyampaikan_pendapat_di_depan	dalam	menyampaikan	pendapat	di	depan	4
depan_dengan_agenda_pemeriksaan_saksi	depan	dengan	agenda	pemeriksaan	saksi	4
depan_makin_tidak_menentu_dan	depan	makin	tidak	menentu	dan	4
hingga_beberapa_bulan_ke_depan	hingga	beberapa	bulan	ke	depan	4
hingga_dua_bulan_ke_depan	hingga	dua	bulan	ke	depan	4
hukum_mengedepankan_kewajiban_mengayomi_dan	hukum	mengedepankan	kewajiban	mengayomi	dan	4
itu_sudah_di_depan_mata	itu	sudah	di	depan	mata	4
ke_depan_yang_lebih_baik	ke	depan	yang	lebih	baik	4
kurun_waktu_tahun_ke_depan	kurun	waktu	tahun	ke	depan	4
lebih_baik_di_masa_depan	lebih	baik	di	masa	depan	4
lebih_baik_lagi_ke_depan	lebih	baik	lagi	ke	depan	4
mengatakan_tahun_depan_makin_tidak	mengatakan	tahun	depan	makin	tidak	4
mengedepankan_kewajiban_mengayomi_dan_melindungi	mengedepankan	kewajiban	mengayomi	dan	melindungi	4
mengingatkan_agar_penegak_hukum_mengedepankan	mengingatkan	agar	penegak	hukum	mengedepankan	4
menjadi_lebih_baik_ke_depannya	menjadi	lebih	baik	ke	depannya	4
menyampaikan_pendapat_di_depan_publik	menyampaikan	pendapat	di	depan	publik	4
pekan_depan_dengan_agenda_pemeriksaan	pekan	depan	dengan	agenda	pemeriksaan	4
pekan_depan_hari_ini_red	pekan	depan	hari	ini	red	4
penegak_hukum_mengedepankan_kewajiban_mengayomi	penegak	hukum	mengedepankan	kewajiban	mengayomi	4
selama_empat_bulan_ke_depan	selama	empat	bulan	ke	depan	4
selama_empat_tahun_ke_depan	selama	empat	tahun	ke	depan	4
selama_satu_tahun_ke_depan	selama	satu	tahun	ke	depan	4
selama_tiga_tahun_ke_depan	selama	tiga	tahun	ke	depan	4
tahun_depan_makin_tidak_menentu	tahun	depan	makin	tidak	menentu	4
terjadi_kemelut_di_depan_gawang	terjadi	kemelut	di	depan	gawang	4
terjadi_lagi_di_masa_depan	terjadi	lagi	di	masa	depan	4
untuk_beberapa_tahun_ke_depan	untuk	beberapa	tahun	ke	depan	4
untuk_dua_tahun_ke_depan	untuk	dua	tahun	ke	depan	4
untuk_masa_depan_yang_lebih	untuk	masa	depan	yang	lebih	4
yang_ada_di_depan_mata	yang	ada	di	depan	mata	4
yang_ada_di_depan_mereka	yang	ada	di	depan	mereka	4
yang_akan_digelar_pekan_depan	yang	akan	digelar	pekan	depan	4
yang_berada_di_garis_depan	yang	berada	di	garis	depan	4
yang_lebih_baik_ke_depannya	yang	lebih	baik	ke	depannya	4
aral_melintang_awal_pekan_depan	aral	melintang	awal	pekan	depan	3
arus_lalu_lintas_di_depan	arus	lalu	lintas	di	depan	3
baru_bisa_dilakukan_pekan_depan	baru	bisa	dilakukan	pekan	depan	3
bulan_ke_depan_akan_ada	bulan	ke	depan	akan	ada	3
bunga_perbankannya_hingga_tahun_depan	bunga	perbankannya	hingga	tahun	depan	3
dalam_dua_hari_ke_depan	dalam	dua	hari	ke	depan	3
dalam_kurun_tahun_ke_depan	dalam	kurun	tahun	ke	depan	3
dalam_waktu_hari_ke_depan	dalam	waktu	hari	ke	depan	3
dalam_waktu_tahun_ke_depan	dalam	waktu	tahun	ke	depan	3
demi_masa_depan_anak_cucu	demi	masa	depan	anak	cucu	3
depan_dan_menjawabnya_dengan_dua	depan	dan	menjawabnya	dengan	dua	3
depan_rencananya_semua_lampu_di	depan	rencananya	semua	lampu	di	3
depan_yang_lebih_baik_bagi	depan	yang	lebih	baik	bagi	3
depan_yang_lebih_baik_kata	depan	yang	lebih	baik	kata	3
di_bagian_depan_dan_belakang	di	bagian	depan	dan	belakang	3
di_depan_publik_sendiri_di	di	depan	publik	sendiri	di	3
di_lini_depan_dan_menjawabnya	di	lini	depan	dan	menjawabnya	3
di_lini_tengah_dan_depan	di	lini	tengah	dan	depan	3
dilanjutkan_pekan_depan_dengan_agenda	dilanjutkan	pekan	depan	dengan	agenda	3
dua_bulan_ke_depan_akan	dua	bulan	ke	depan	akan	3
dua_minggu_ke_depan_sudah	dua	minggu	ke	depan	sudah	3
guru_sangat_menentukan_masa_depan	guru	sangat	menentukan	masa	depan	3
hingga_empat_hari_ke_depan	hingga	empat	hari	ke	depan	3
ini_dan_di_masa_depan	ini	dan	di	masa	depan	3
itu_akan_dilakukan_di_depan	itu	akan	dilakukan	di	depan	3
jangan_sampai_ke_depan_ada	jangan	sampai	ke	depan	ada	3
jauh_dan_shalat_di_depan	jauh	dan	shalat	di	depan	3
kali_berada_di_baris_depan	kali	berada	di	baris	depan	3
ke_depan_agar_lebih_baik	ke	depan	agar	lebih	baik	3
ke_depan_akan_lebih_banyak	ke	depan	akan	lebih	banyak	3
ke_depan_bisa_lebih_baik	ke	depan	bisa	lebih	baik	3
ke_depan_dan_ke_belakang	ke	depan	dan	ke	belakang	3
ke_depan_nanti_tidak_terjadi	ke	depan	nanti	tidak	terjadi	3
ke_depan_tidak_terulang_lagi	ke	depan	tidak	terulang	lagi	3
ke_depannya_tidak_ada_lagi	ke	depannya	tidak	ada	lagi	3
lebih_baik_lagi_ke_depannya	lebih	baik	lagi	ke	depannya	3
lima_tahun_ke_depan_katanya	lima	tahun	ke	depan	katanya	3
lima_tahun_ke_depan_ujar	lima	tahun	ke	depan	ujar	3
lini_depan_dan_menjawabnya_dengan	lini	depan	dan	menjawabnya	dengan	3
masa_depan_seperti_mobil_listrik	masa	depan	seperti	mobil	listrik	3
