start	end	corpus	sent_id	left	node	right	node_sentences
102	113	ind_newscrawl_2016_1M	404	1 December 2016, 16:21 WIB Presiden tidak Ingin SPJ Bertumpuk Surat pertanggungjawaban (SPJ) menyita	banyak waktu	para penyelenggara negara.	1 December 2016, 16:21 WIB Presiden tidak Ingin SPJ Bertumpuk Surat pertanggungjawaban (SPJ) menyita <m>banyak waktu</m> para penyelenggara negara.
33	44	ind_newscrawl_2016_1M	28814	”Anak-anak kan sudah kehilangan	banyak waktu	selama kami menjalankan tugas, dengan cara ini saya ingin mereka tidak kehilangan kasih sayang orang tua mereka,” jelasnya.	”Anak-anak kan sudah kehilangan <m>banyak waktu</m> selama kami menjalankan tugas, dengan cara ini saya ingin mereka tidak kehilangan kasih sayang orang tua mereka,” jelasnya.
21	32	ind_newscrawl_2016_1M	30161	Anda bisa menghemat	banyak waktu	dan tenaga, tanpa harus bepergian, namun tetap mendapatkan barang berkualitas dengan harga ekonomis.	Anda bisa menghemat <m>banyak waktu</m> dan tenaga, tanpa harus bepergian, namun tetap mendapatkan barang berkualitas dengan harga ekonomis.
38	50	ind_newscrawl_2016_1M	35332	Apabila makanan itu dikonsumsi dalam	waktu panjang	akan mengganggu fungsi hati, gangguan kandung kemih bahkan kanker.	Apabila makanan itu dikonsumsi dalam <m>waktu panjang</m> akan mengganggu fungsi hati, gangguan kandung kemih bahkan kanker.
28	40	ind_newscrawl_2016_1M	38582	Apalagi jaksa sudah diberi	waktu panjang	un-tuk menyiapkan tuntutannya,” papar Holung, menambahkan pihak-nya juga kesulitan menghu-bungi JPU karena ponselnya tak diangkat.	Apalagi jaksa sudah diberi <m>waktu panjang</m> un-tuk menyiapkan tuntutannya,” papar Holung, menambahkan pihak-nya juga kesulitan menghu-bungi JPU karena ponselnya tak diangkat.
68	79	ind_newscrawl_2016_1M	41931	Apalagi, tugas sebagai “penjaga keamanan negara” membutuhkan lebih	banyak waktu	.	Apalagi, tugas sebagai “penjaga keamanan negara” membutuhkan lebih <m>banyak waktu</m>.
129	140	ind_newscrawl_2016_1M	51591	Australia Butuhkan Tempat Pembuangan Limbah NuklirThursday, 09 October 2014 MELBOURNE -- Pemerintah Federal Australia tak punya	banyak waktu	untuk menemukan tempat pembuangan limbah nuklir yang aman.	Australia Butuhkan Tempat Pembuangan Limbah NuklirThursday, 09 October 2014 MELBOURNE -- Pemerintah Federal Australia tak punya <m>banyak waktu</m> untuk menemukan tempat pembuangan limbah nuklir yang aman.
92	103	ind_newscrawl_2016_1M	69243	Bakal molornya SSI ini me-mang sudah tergambar dari jalannya pleno, di mana me-makan cukup	banyak waktu	.	Bakal molornya SSI ini me-mang sudah tergambar dari jalannya pleno, di mana me-makan cukup <m>banyak waktu</m>.
1	12	ind_newscrawl_2016_1M	73934	~	Banyak waktu	yang Anda habiskan di kantor setiap hari, sehingga kadang Anda tidak mampu untuk menahan hidrasi sampai Anda pulang kerja.	<m>Banyak waktu</m> yang Anda habiskan di kantor setiap hari, sehingga kadang Anda tidak mampu untuk menahan hidrasi sampai Anda pulang kerja.
49	60	ind_newscrawl_2016_1M	75898	BASE MAKE UP Sebagai karyawan pasti tidak punya	banyak waktu	untuk..	BASE MAKE UP Sebagai karyawan pasti tidak punya <m>banyak waktu</m> untuk..
124	135	ind_newscrawl_2016_1M	95662	Berto (30-2, 23 KO) berterima kasih kepada Mayweather untuk kesempatan ini dan pelatihnya Virgil Hunter menghabiskan lebih	banyak waktu	di podium untuk memuji Mayweather, ketimbang berbicara mengenai petinjunya sendiri.	Berto (30-2, 23 KO) berterima kasih kepada Mayweather untuk kesempatan ini dan pelatihnya Virgil Hunter menghabiskan lebih <m>banyak waktu</m> di podium untuk memuji Mayweather, ketimbang berbicara mengenai petinjunya sendiri.
26	37	ind_newscrawl_2016_1M	99374	Bila Anda tidak memiliki	banyak waktu	, tambahkan sedikit garam dalam air agar air lebih cepat mendidih.	Bila Anda tidak memiliki <m>banyak waktu</m>, tambahkan sedikit garam dalam air agar air lebih cepat mendidih.
43	55	ind_newscrawl_2016_1M	110256	Buku saya sudah terbit dari bulan Mei ada	waktu panjang	untuk perkenalkan buku saya kepada khalayak Jerman.	Buku saya sudah terbit dari bulan Mei ada <m>waktu panjang</m> untuk perkenalkan buku saya kepada khalayak Jerman.
8	20	ind_newscrawl_2016_1M	112412	"""Butuh"	waktu panjang	"untuk mempertemukan mereka,"" tukas pria yang membutuhkan waktu hampir setengah tahun mempresentasikan konsep ini kepada mereka bertiga."	"""Butuh <m>waktu panjang</m> untuk mempertemukan mereka,"" tukas pria yang membutuhkan waktu hampir setengah tahun mempresentasikan konsep ini kepada mereka bertiga."
102	113	ind_newscrawl_2016_1M	127876	Dalam perbincangan dengan Billboard tahun lalu, dia mengungkapkan perasaan ketika Tyler menghabiskan	banyak waktu	di Nashville untuk menggarap musik country-nya.	Dalam perbincangan dengan Billboard tahun lalu, dia mengungkapkan perasaan ketika Tyler menghabiskan <m>banyak waktu</m> di Nashville untuk menggarap musik country-nya.
93	104	ind_newscrawl_2016_1M	130601	Dalam sebuah wawancara pada tahun 2012,saat ulang tahunnya ke 70, dia mengakui menghabiskan	banyak waktu	untuk berfikir tentang perempuan.	Dalam sebuah wawancara pada tahun 2012,saat ulang tahunnya ke 70, dia mengakui menghabiskan <m>banyak waktu</m> untuk berfikir tentang perempuan.
44	55	ind_newscrawl_2016_1M	155825	“Dengan alat ini, tidak perlu menghabiskan	banyak waktu	di sawah hanya untuk mengusir burung.	“Dengan alat ini, tidak perlu menghabiskan <m>banyak waktu</m> di sawah hanya untuk mengusir burung.
15	26	ind_newscrawl_2016_1M	156148	Dengan begitu	banyak waktu	yang bisa digunakan untuk bersantai.	Dengan begitu <m>banyak waktu</m> yang bisa digunakan untuk bersantai.
40	52	ind_newscrawl_2016_1M	156264	Dengan begitu diperkirakan membutuhkan	waktu panjang	dan melebihi satu periode pemerintahan untuk mencapai target pemenuhan 100% kualitas standar layanan minimum pendidikan.	Dengan begitu diperkirakan membutuhkan <m>waktu panjang</m> dan melebihi satu periode pemerintahan untuk mencapai target pemenuhan 100% kualitas standar layanan minimum pendidikan.
146	157	ind_newscrawl_2016_1M	162730	Dengan penampilan mereka di kualifikasi Piala Dunia baru akan dilanjutkan pada 17 Maret saat melawan Honduras, pengganti Klinsmann akan memiliki	banyak waktu	untuk menerapkan programnya dan mengevaluasi para pemain.	Dengan penampilan mereka di kualifikasi Piala Dunia baru akan dilanjutkan pada 17 Maret saat melawan Honduras, pengganti Klinsmann akan memiliki <m>banyak waktu</m> untuk menerapkan programnya dan mengevaluasi para pemain.
54	65	ind_newscrawl_2016_1M	166246	“Dia adalah bintang sepak bola dunia dan masih punya	banyak waktu	bersama kami.	“Dia adalah bintang sepak bola dunia dan masih punya <m>banyak waktu</m> bersama kami.
35	46	ind_newscrawl_2016_1M	190695	Dikatakan Syarief, masih terdapat	banyak waktu	untuk merampungkan kepengurusan.	Dikatakan Syarief, masih terdapat <m>banyak waktu</m> untuk merampungkan kepengurusan.
14	25	ind_newscrawl_2016_1M	194404	Di mana akan	banyak waktu	dan uang yang dihabiskan.	Di mana akan <m>banyak waktu</m> dan uang yang dihabiskan.
14	25	ind_newscrawl_2016_1M	206981	Di sisi lain	banyak waktu	dan tenaganya diberikan untuk kemajuan pertanian di Minahasa.	Di sisi lain <m>banyak waktu</m> dan tenaganya diberikan untuk kemajuan pertanian di Minahasa.
