ngram	w1	w2	n
masa_depan	masa	depan	1392
di_masa	di	masa	1012
pada_masa	pada	masa	576
masa_lalu	masa	lalu	473
masa_kini	masa	kini	205
masa_mendatang	masa	mendatang	198
masa_jabatan	masa	jabatan	194
masa_kampanye	masa	kampanye	170
selama_masa	selama	masa	165
masa_yang	masa	yang	158
untuk_masa	untuk	masa	152
memasuki_masa	memasuki	masa	151
dalam_masa	dalam	masa	146
dengan_masa	dengan	masa	128
dan_masa	dan	masa	109
masa_itu	masa	itu	108
masa_depannya	masa	depannya	100
dari_masa	dari	masa	97
masa_jabatannya	masa	jabatannya	93
masa_reses	masa	reses	92
masa_kerja	masa	kerja	86
masa_pensiun	masa	pensiun	85
menjalani_masa	menjalani	masa	84
sepanjang_masa	sepanjang	masa	83
ke_masa	ke	masa	73
masa_pemerintahan	masa	pemerintahan	67
masa_transisi	masa	transisi	63
sebelum_masa	sebelum	masa	56
masa_kecil	masa	kecil	53
saat_masa	saat	masa	52
sejak_masa	sejak	masa	52
akhir_masa	akhir	masa	49
masa_berlaku	masa	berlaku	48
masa_datang	masa	datang	48
masa_bakti	masa	bakti	47
habis_masa	habis	masa	46
masa_lampau	masa	lampau	46
masa_panen	masa	panen	44
masa_liburan	masa	liburan	42
adalah_masa	adalah	masa	41
masa-lah_ini	masa-lah	ini	41
setelah_masa	setelah	masa	41
hingga_masa	hingga	masa	39
masa_kepemimpinan	masa	kepemimpinan	39
yang_masa	yang	masa	38
masa_kecilnya	masa	kecilnya	35
masa_tahanan	masa	tahanan	35
demi_masa	demi	masa	34
di_masa-masa	di	masa-masa	33
masa_hukuman	masa	hukuman	33
masa_tugas	masa	tugas	32
tahun_masa	tahun	masa	32
masa_ke	masa	ke	31
masa_lalunya	masa	lalunya	31
masa_sekarang	masa	sekarang	31
melewati_masa	melewati	masa	31
memiliki_masa	memiliki	masa	31
bagi_masa	bagi	masa	30
berakhirnya_masa	berakhirnya	masa	28
masa_berlakunya	masa	berlakunya	28
masa_sidang	masa	sidang	28
mengalami_masa	mengalami	masa	28
masa_penjajahan	masa	penjajahan	27
mengakhiri_masa	mengakhiri	masa	27
pemimpin_masa	pemimpin	masa	27
karena_masa	karena	masa	26
masa_ini	masa	ini	26
masa_sulit	masa	sulit	26
generasi_masa	generasi	masa	25
masa_injury	masa	injury	25
masa_kehamilan	masa	kehamilan	25
memperpanjang_masa	memperpanjang	masa	25
masa_tanam	masa	tanam	24
masa_tugasnya	masa	tugasnya	24
terhadap_masa	terhadap	masa	24
masa_percobaan	masa	percobaan	23
masa-masa_sulit	masa-masa	sulit	23
menentukan_masa	menentukan	masa	23
menghabiskan_masa	menghabiskan	masa	23
perpanjangan_masa	perpanjangan	masa	23
tentang_masa	tentang	masa	23
masa_libur	masa	libur	22
ada_masa	ada	masa	21
ketika_masa	ketika	masa	21
masa_awal	masa	awal	21
masa_berkabung	masa	berkabung	21
masa_bodoh	masa	bodoh	21
masa_pendaftaran	masa	pendaftaran	21
masa_silam	masa	silam	21
awal_masa	awal	masa	20
bulan_masa	bulan	masa	20
masa_kepemimpinannya	masa	kepemimpinannya	20
masa_pemulihan	masa	pemulihan	20
masa_persiapan	masa	persiapan	20
mengenai_masa	mengenai	masa	20
merupakan_masa	merupakan	masa	20
sampai_masa	sampai	masa	20
terkait_masa	terkait	masa	20
sisa_masa	sisa	masa	19
masa_kerjanya	masa	kerjanya	18
masa_kontrak	masa	kontrak	18
masa_perpanjangan	masa	perpanjangan	18
masa_tunggu	masa	tunggu	18
masa_uji	masa	uji	18
media_masa	media	masa	18
bahwa_masa	bahwa	masa	17
berakhir_masa	berakhir	masa	17
masa_penahanan	masa	penahanan	17
masa_angkutan	masa	angkutan	16
masa_di	masa	di	16
masa_kejayaan	masa	kejayaan	16
masa_orientasi	masa	orientasi	16
masa_pemerintahannya	masa	pemerintahannya	16
masa_tenang	masa	tenang	16
masa-masa_yang	masa-masa	yang	16
mengalami_masa-masa	mengalami	masa-masa	16
menjadi_masa	menjadi	masa	16
