ngram	w1	w2	w3	n
di_masa_depan	di	masa	depan	268
di_masa_mendatang	di	masa	mendatang	142
di_masa_lalu	di	masa	lalu	140
masa_depan_yang	masa	depan	yang	96
masa_yang_akan	masa	yang	akan	94
masa_depan_bangsa	masa	depan	bangsa	86
untuk_masa_depan	untuk	masa	depan	83
di_masa_yang	di	masa	yang	72
dan_masa_depan	dan	masa	depan	51
memasuki_masa_pensiun	memasuki	masa	pensiun	51
pada_masa_lalu	pada	masa	lalu	48
pada_masa_itu	pada	masa	itu	43
di_masa_datang	di	masa	datang	36
pada_masa_depan	pada	masa	depan	34
demi_masa_depan	demi	masa	depan	33
masa_depan_mereka	masa	depan	mereka	32
pada_masa_mendatang	pada	masa	mendatang	32
selama_masa_kampanye	selama	masa	kampanye	31
sudah_memasuki_masa	sudah	memasuki	masa	31
bagi_masa_depan	bagi	masa	depan	30
masa_depan_dan	masa	depan	dan	29
pada_masa_pemerintahan	pada	masa	pemerintahan	27
masa_ke_masa	masa	ke	masa	26
masa_lalu_yang	masa	lalu	yang	26
masa_injury_time	masa	injury	time	25
dari_masa_ke	dari	masa	ke	24
pemimpin_masa_depan	pemimpin	masa	depan	24
masa_depan_anak	masa	depan	anak	23
masa_lalu_dan	masa	lalu	dan	23
terjadi_di_masa	terjadi	di	masa	23
masa_depan_dengan	masa	depan	dengan	21
terhadap_masa_depan	terhadap	masa	depan	21
masa_depan_generasi	masa	depan	generasi	20
menentukan_masa_depan	menentukan	masa	depan	19
pada_masa_kampanye	pada	masa	kampanye	19
akan_memasuki_masa	akan	memasuki	masa	18
masa_depan_kita	masa	depan	kita	18
baik_di_masa	baik	di	masa	17
dari_masa_lalu	dari	masa	lalu	17
lagi_di_masa	lagi	di	masa	17
masa_kini_dan	masa	kini	dan	17
menjalani_masa_hukuman	menjalani	masa	hukuman	17
di_masa_kini	di	masa	kini	16
masa_depan_anak-anak	masa	depan	anak-anak	16
masa_depan_kata	masa	depan	kata	16
masa_depan_untuk	masa	depan	untuk	16
saat_masa_kampanye	saat	masa	kampanye	16
sedang_dalam_masa	sedang	dalam	masa	16
kita_di_masa	kita	di	masa	15
masa_depan_daerah	masa	depan	daerah	15
masa_jabatannya_berakhir	masa	jabatannya	berakhir	15
masa_kini_yang	masa	kini	yang	15
