ngram	w1	w2	w3	w4	n
masa_yang_akan_datang	masa	yang	akan	datang	90
di_masa_yang_akan	di	masa	yang	akan	67
masa_depan_yang_lebih	masa	depan	yang	lebih	39
dari_masa_ke_masa	dari	masa	ke	masa	23
lebih_baik_di_masa	lebih	baik	di	masa	12
masa_depan_bangsa_dan	masa	depan	bangsa	dan	12
pada_masa_yang_akan	pada	masa	yang	akan	12
akan_memasuki_masa_pensiun	akan	memasuki	masa	pensiun	11
masa-masa_yang_akan_datang	masa-masa	yang	akan	datang	11
di_masa_injury_time	di	masa	injury	time	10
di_masa-masa_yang_akan	di	masa-masa	yang	akan	10
masa_depan_bangsa_ini	masa	depan	bangsa	ini	10
masa_depan_generasi_muda	masa	depan	generasi	muda	10
masa_kini_dan_masa	masa	kini	dan	masa	10
pada_masa_injury_time	pada	masa	injury	time	10
sudah_memasuki_masa_pensiun	sudah	memasuki	masa	pensiun	10
terjadi_di_masa_lalu	terjadi	di	masa	lalu	10
yang_memasuki_masa_pensiun	yang	memasuki	masa	pensiun	9
di_masa_akan_datang	di	masa	akan	datang	8
di_masa_depan_kata	di	masa	depan	kata	8
di_masa_lalu_dan	di	masa	lalu	dan	8
kembali_ke_masa_lalu	kembali	ke	masa	lalu	8
kini_dan_masa_depan	kini	dan	masa	depan	8
masa_depan_lebih_baik	masa	depan	lebih	baik	8
masa_depan_yang_baik	masa	depan	yang	baik	8
masa_depan_yang_cerah	masa	depan	yang	cerah	8
yang_sudah_habis_masa	yang	sudah	habis	masa	8
dan_di_masa_depan	dan	di	masa	depan	7
di_masa_depan_dan	di	masa	depan	dan	7
telah_memasuki_masa_pensiun	telah	memasuki	masa	pensiun	7
baik_di_masa_mendatang	baik	di	masa	mendatang	6
belajar_dari_masa_lalu	belajar	dari	masa	lalu	6
demi_masa_depan_anak	demi	masa	depan	anak	6
di_masa_depan_akan	di	masa	depan	akan	6
di_masa_sekarang_dan	di	masa	sekarang	dan	6
gol_terbanyak_sepanjang_masa	gol	terbanyak	sepanjang	masa	6
lagi_di_masa_mendatang	lagi	di	masa	mendatang	6
masa_depan_anak_cucu	masa	depan	anak	cucu	6
masa_depan_bangsa_yang	masa	depan	bangsa	yang	6
masa_injury_time_babak	masa	injury	time	babak	6
menentukan_wajah_masa_depan	menentukan	wajah	masa	depan	6
menjadi_pemimpin_masa_depan	menjadi	pemimpin	masa	depan	6
menuju_masa_depan_yang	menuju	masa	depan	yang	6
pada_masa_perpanjangan_waktu	pada	masa	perpanjangan	waktu	6
terjadi_di_masa_depan	terjadi	di	masa	depan	6
terjadi_lagi_di_masa	terjadi	lagi	di	masa	6
yang_terjadi_di_masa	yang	terjadi	di	masa	6
akan_terjadi_di_masa	akan	terjadi	di	masa	5
baik_di_masa_depan	baik	di	masa	depan	5
di_masa_depan_katanya	di	masa	depan	katanya	5
harus_menjalani_masa_hukuman	harus	menjalani	masa	hukuman	5
ini_dan_di_masa	ini	dan	di	masa	5
masa_depan_umat_manusia	masa	depan	umat	manusia	5
masa_kerja_tahun_kini	masa	kerja	tahun	kini	5
penjara_dikurangi_masa_tahanan	penjara	dikurangi	masa	tahanan	5
saat_ini_dan_masa	saat	ini	dan	masa	5
sudah_memasuki_masa_kampanye	sudah	memasuki	masa	kampanye	5
top_skorer_sepanjang_masa	top	skorer	sepanjang	masa	5
turut_menentukan_wajah_masa	turut	menentukan	wajah	masa	5
untuk_masa_depan_bangsa	untuk	masa	depan	bangsa	5
untuk_masa_depan_yang	untuk	masa	depan	yang	5
untuk_masa_jabatan_kedua	untuk	masa	jabatan	kedua	5
wajah_masa_depan_bangsa	wajah	masa	depan	bangsa	5
yang_sudah_memasuki_masa	yang	sudah	memasuki	masa	5
adalah_masa_di_mana	adalah	masa	di	mana	4
akan_mengakhiri_masa_jabatannya	akan	mengakhiri	masa	jabatannya	4
bagi_masa_depan_daerah	bagi	masa	depan	daerah	4
bangsa_di_masa_depan	bangsa	di	masa	depan	4
calon_pemimpin_masa_depan	calon	pemimpin	masa	depan	4
cucu_kita_di_masa	cucu	kita	di	masa	4
dalam_masa_transisi_ini	dalam	masa	transisi	ini	4
dan_demi_masa_depan	dan	demi	masa	depan	4
dan_masa_depan_bangsa	dan	masa	depan	bangsa	4
demi_masa_depan_generasi	demi	masa	depan	generasi	4
demi_masa_depan_mereka	demi	masa	depan	mereka	4
di_masa_depan_ujar	di	masa	depan	ujar	4
