ngram	w1	w2	w3	w4	w5	n
di_masa_yang_akan_datang	di	masa	yang	akan	datang	65
masa_depan_yang_lebih_baik	masa	depan	yang	lebih	baik	29
pada_masa_yang_akan_datang	pada	masa	yang	akan	datang	12
masa_kini_dan_masa_depan	masa	kini	dan	masa	depan	8
lebih_baik_di_masa_mendatang	lebih	baik	di	masa	mendatang	6
masa_depan_bangsa_dan_negara	masa	depan	bangsa	dan	negara	6
pencetak_gol_terbanyak_sepanjang_masa	pencetak	gol	terbanyak	sepanjang	masa	6
akan_terjadi_di_masa_depan	akan	terjadi	di	masa	depan	5
masa_depan_anak_cucu_kita	masa	depan	anak	cucu	kita	5
masa_depan_yang_lebih_cerah	masa	depan	yang	lebih	cerah	5
menentukan_wajah_masa_depan_bangsa	menentukan	wajah	masa	depan	bangsa	5
menuju_masa_depan_yang_lebih	menuju	masa	depan	yang	lebih	5
turut_menentukan_wajah_masa_depan	turut	menentukan	wajah	masa	depan	5
yang_akan_terjadi_di_masa	yang	akan	terjadi	di	masa	5
yang_terjadi_di_masa_lalu	yang	terjadi	di	masa	lalu	5
anak_cucu_kita_di_masa	anak	cucu	kita	di	masa	4
di_masa_sekarang_dan_akan	di	masa	sekarang	dan	akan	4
lebih_baik_di_masa_depan	lebih	baik	di	masa	depan	4
masa_sekarang_dan_akan_datang	masa	sekarang	dan	akan	datang	4
masa_yang_akan_datang_katanya	masa	yang	akan	datang	katanya	4
pada_masa_injury_time_babak	pada	masa	injury	time	babak	4
terjadi_lagi_di_masa_depan	terjadi	lagi	di	masa	depan	4
untuk_masa_depan_yang_lebih	untuk	masa	depan	yang	lebih	4
untuk_masa_yang_akan_datang	untuk	masa	yang	akan	datang	4
yang_akan_memasuki_masa_pensiun	yang	akan	memasuki	masa	pensiun	4
yang_sudah_memasuki_masa_pensiun	yang	sudah	memasuki	masa	pensiun	4
yang_telah_memasuki_masa_pensiun	yang	telah	memasuki	masa	pensiun	4
yang_terjadi_pada_masa_lalu	yang	terjadi	pada	masa	lalu	4
baik_lagi_di_masa_mendatang	baik	lagi	di	masa	mendatang	3
berakhirnya_masa_periode_satu_pada	berakhirnya	masa	periode	satu	pada	3
bisa_lebih_baik_di_masa	bisa	lebih	baik	di	masa	3
bulan_penjara_dengan_masa_percobaan	bulan	penjara	dengan	masa	percobaan	3
dan_di_masa_yang_akan	dan	di	masa	yang	akan	3
dan_masa_yang_akan_datang	dan	masa	yang	akan	datang	3
demi_masa_depan_anak_cucu	demi	masa	depan	anak	cucu	3
dengan_masa_kerja_minimal_tahun	dengan	masa	kerja	minimal	tahun	3
enam_bulan_penjara_dengan_masa	enam	bulan	penjara	dengan	masa	3
guru_sangat_menentukan_masa_depan	guru	sangat	menentukan	masa	depan	3
ini_dan_di_masa_depan	ini	dan	di	masa	depan	3
kualitas_guru_sangat_menentukan_masa	kualitas	guru	sangat	menentukan	masa	3
lagi_di_masa_yang_akan	lagi	di	masa	yang	akan	3
lebih_baik_lagi_di_masa	lebih	baik	lagi	di	masa	3
masa_depan_seperti_mobil_listrik	masa	depan	seperti	mobil	listrik	3
masa_injury_time_babak_kedua	masa	injury	time	babak	kedua	3
masa_injury_time_babak_pertama	masa	injury	time	babak	pertama	3
masa_kerja_tahun_kini_menjadi	masa	kerja	tahun	kini	menjadi	3
masa_lalu_masa_kini_dan	masa	lalu	masa	kini	dan	3
masa_penjajahan_guru_selalu_menanamkan	masa	penjajahan	guru	selalu	menanamkan	3
masa_yang_akan_datang_ujar	masa	yang	akan	datang	ujar	3
menjadi_top_skorer_sepanjang_masa	menjadi	top	skorer	sepanjang	masa	3
pola_pikir_masa_lalu_seperti	pola	pikir	masa	lalu	seperti	3
saat_ini_dan_di_masa	saat	ini	dan	di	masa	3
saat_ini_dan_masa_depan	saat	ini	dan	masa	depan	3
tahun_penjara_dikurangi_masa_tahanan	tahun	penjara	dikurangi	masa	tahanan	3
yang_dibuat_pada_masa_pemerintahan	yang	dibuat	pada	masa	pemerintahan	3
yang_lebih_baik_di_masa	yang	lebih	baik	di	masa	3
â_masa_yang_baikâ_secara	â	masa	yang	baikâ	secara	2
ada_masa_berlaku_hingga_yang	ada	masa	berlaku	hingga	yang	2
adalah_calon_pemimpin_masa_depan	adalah	calon	pemimpin	masa	depan	2
adalah_industri_masa_depan_untuk	adalah	industri	masa	depan	untuk	2
adalah_investasi_untuk_masa_depan	adalah	investasi	untuk	masa	depan	2
adalah_kunci_menghadapi_masa_depan	adalah	kunci	menghadapi	masa	depan	2
adalah_masa_depan_bangsa_dan	adalah	masa	depan	bangsa	dan	2
agar_korban_bisa_melewati_masa	agar	korban	bisa	melewati	masa	2
agar_tidak_terjebak_masa_lalu	agar	tidak	terjebak	masa	lalu	2
akan_datang_suatu_masa_seperti	akan	datang	suatu	masa	seperti	2
akan_dilakukan_setelah_masa_reses	akan	dilakukan	setelah	masa	reses	2
akan_melahirkan_petaka_di_masa	akan	melahirkan	petaka	di	masa	2
akan_memasuki_masa_pensiun_pada	akan	memasuki	masa	pensiun	pada	2
akan_mengalami_â_masa_yang	akan	mengalami	â	masa	yang	2
