ngram	w1	w2
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
pekan_depan	pekan	depan
tahun_depan	tahun	depan
pekan_depan	pekan	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
bulan_depan	bulan	depan
tahun_depan	tahun	depan
pekan_depan	pekan	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
musim_depan	musim	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
pekan_depan	pekan	depan
musim_depan	musim	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
pekan_depan	pekan	depan
pekan_depan	pekan	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
musim_depan	musim	depan
musim_depan	musim	depan
pekan_depan	pekan	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
pekan_depan	pekan	depan
pekan_depan	pekan	depan
masa_depan	masa	depan
pekan_depan	pekan	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
pekan_depan	pekan	depan
tahun_depan	tahun	depan
pekan_depan	pekan	depan
masa_depan	masa	depan
masa_depan	masa	depan
musim_depan	musim	depan
bulan_depan	bulan	depan
pekan_depan	pekan	depan
masa_depan	masa	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
bulan_depan	bulan	depan
masa_depan	masa	depan
musim_depan	musim	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
musim_depan	musim	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
bulan_depan	bulan	depan
masa_depan	masa	depan
pekan_depan	pekan	depan
pekan_depan	pekan	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
bulan_depan	bulan	depan
musim_depan	musim	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
pekan_depan	pekan	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
minggu_depan	minggu	depan
pekan_depan	pekan	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
masa_depan	masa	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
pekan_depan	pekan	depan
masa_depan	masa	depan
bulan_depan	bulan	depan
bulan_depan	bulan	depan
tahun_depan	tahun	depan
masa_depan	masa	depan
musim_depan	musim	depan
tahun_depan	tahun	depan
musim_depan	musim	depan
bulan_depan	bulan	depan
pekan_depan	pekan	depan
masa_depan	masa	depan
masa_depan	masa	depan
bulan_depan	bulan	depan
pekan_depan	pekan	depan
masa_depan	masa	depan
musim_depan	musim	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
tahun_depan	tahun	depan
