ngram	w1	w2	n
dalam_waktu	dalam	waktu	2237
waktu_lalu	waktu	lalu	2027
beberapa_waktu	beberapa	waktu	1769
waktu_dekat	waktu	dekat	1575
waktu_yang	waktu	yang	1446
waktu_itu	waktu	itu	805
waktu_setempat	waktu	setempat	548
waktu_untuk	waktu	untuk	519
pada_waktu	pada	waktu	397
membutuhkan_waktu	membutuhkan	waktu	326
batas_waktu	batas	waktu	310
kurun_waktu	kurun	waktu	302
memakan_waktu	memakan	waktu	300
waktu_dan	waktu	dan	297
butuh_waktu	butuh	waktu	279
pukul_waktu	pukul	waktu	271
tepat_waktu	tepat	waktu	261
dengan_waktu	dengan	waktu	257
jangka_waktu	jangka	waktu	245
waktu_lama	waktu	lama	215
menghabiskan_waktu	menghabiskan	waktu	204
dan_waktu	dan	waktu	200
waktu_dua	waktu	dua	194
waktu_menit	waktu	menit	187
catatan_waktu	catatan	waktu	179
waktu_satu	waktu	satu	164
waktu_tiga	waktu	tiga	156
waktu_sekitar	waktu	sekitar	150
dari_waktu	dari	waktu	147
ada_waktu	ada	waktu	138
waktu_tahun	waktu	tahun	136
sementara_waktu	sementara	waktu	135
waktu_di	waktu	di	130
waktu_ke	waktu	ke	130
di_waktu	di	waktu	123
punya_waktu	punya	waktu	123
waktu_singkat	waktu	singkat	121
menunggu_waktu	menunggu	waktu	119
waktu_hari	waktu	hari	116
waktu_hingga	waktu	hingga	114
banyak_waktu	banyak	waktu	112
ke_waktu	ke	waktu	110
memerlukan_waktu	memerlukan	waktu	107
memiliki_waktu	memiliki	waktu	103
malam_waktu	malam	waktu	101
waktu_jam	waktu	jam	95
rentang_waktu	rentang	waktu	92
sisa_waktu	sisa	waktu	92
perlu_waktu	perlu	waktu	88
berjalannya_waktu	berjalannya	waktu	87
waktu_lebih	waktu	lebih	81
waktu_pelaksanaan	waktu	pelaksanaan	81
memberikan_waktu	memberikan	waktu	76
waktu_kurang	waktu	kurang	76
waktu_lima	waktu	lima	75
waktu_selama	waktu	selama	75
waktu_dengan	waktu	dengan	74
waktu_detik	waktu	detik	74
waktu_terakhir	waktu	terakhir	74
waktu_tersebut	waktu	tersebut	71
meluangkan_waktu	meluangkan	waktu	70
perpanjangan_waktu	perpanjangan	waktu	67
waktu_luang	waktu	luang	66
waktu_tertentu	waktu	tertentu	61
waktu_beberapa	waktu	beberapa	60
waktu_saya	waktu	saya	59
tenggat_waktu	tenggat	waktu	58
waktu_cukup	waktu	cukup	56
karena_waktu	karena	waktu	55
bebe-rapa_waktu	bebe-rapa	waktu	54
da-lam_waktu	da-lam	waktu	53
waktu_empat	waktu	empat	52
adalah_waktu	adalah	waktu	51
memanfaatkan_waktu	memanfaatkan	waktu	50
untuk_waktu	untuk	waktu	50
waktu_sampai	waktu	sampai	50
be-berapa_waktu	be-berapa	waktu	49
yang_waktu	yang	waktu	49
waktu_normal	waktu	normal	48
dibutuhkan_waktu	dibutuhkan	waktu	47
waktu_enam	waktu	enam	46
diberi_waktu	diberi	waktu	45
mengisi_waktu	mengisi	waktu	45
waktu_bagi	waktu	bagi	45
waktu_bulan	waktu	bulan	45
waktu_tercepat	waktu	tercepat	45
waktu_tempuh	waktu	tempuh	44
pagi_waktu	pagi	waktu	43
waktu_istirahat	waktu	istirahat	43
setiap_waktu	setiap	waktu	42
waktu_bersama	waktu	bersama	42
waktu_masih	waktu	masih	41
waktu_tidak	waktu	tidak	41
waktu_dalam	waktu	dalam	40
waktu_panjang	waktu	panjang	40
sepanjang_waktu	sepanjang	waktu	39
waktu_terbaik	waktu	terbaik	38
waktu_antara	waktu	antara	37
waktu_karena	waktu	karena	37
diberikan_waktu	diberikan	waktu	36
waktu_bersamaan	waktu	bersamaan	36
waktu_kepada	waktu	kepada	36
hingga_waktu	hingga	waktu	35
merupakan_waktu	merupakan	waktu	35
waktu_belakangan	waktu	belakangan	34
waktu_de-kat	waktu	de-kat	34
waktu_paling	waktu	paling	34
soal_waktu	soal	waktu	33
lima_waktu	lima	waktu	32
meminta_waktu	meminta	waktu	32
sebelum_waktu	sebelum	waktu	32
waktu_kata	waktu	kata	32
