ngram	w1	w2	w3	n
beberapa_waktu_lalu	beberapa	waktu	lalu	1501
dalam_waktu_dekat	dalam	waktu	dekat	1283
waktu_dekat_ini	waktu	dekat	ini	658
pukul_waktu_setempat	pukul	waktu	setempat	197
dalam_kurun_waktu	dalam	kurun	waktu	172
waktu_dekat_akan	waktu	dekat	akan	163
dalam_waktu_yang	dalam	waktu	yang	154
waktu_yang_tepat	waktu	yang	tepat	134
pada_waktu_itu	pada	waktu	itu	127
waktu_yang_cukup	waktu	yang	cukup	116
dengan_catatan_waktu	dengan	catatan	waktu	111
waktu_yang_lama	waktu	yang	lama	108
waktu_ke_waktu	waktu	ke	waktu	107
dalam_jangka_waktu	dalam	jangka	waktu	102
dari_waktu_ke	dari	waktu	ke	96
batas_waktu_yang	batas	waktu	yang	94
dalam_waktu_singkat	dalam	waktu	singkat	94
untuk_sementara_waktu	untuk	sementara	waktu	81
malam_waktu_setempat	malam	waktu	setempat	78
waktu_yang_tidak	waktu	yang	tidak	72
itu_dalam_waktu	itu	dalam	waktu	71
hanya_dalam_waktu	hanya	dalam	waktu	66
dilakukan_dalam_waktu	dilakukan	dalam	waktu	64
pada_pukul_waktu	pada	pukul	waktu	63
pada_waktu_yang	pada	waktu	yang	63
waktu_menit_detik	waktu	menit	detik	62
beberapa_waktu_terakhir	beberapa	waktu	terakhir	61
butuh_waktu_lama	butuh	waktu	lama	60
dengan_waktu_yang	dengan	waktu	yang	59
membutuhkan_waktu_yang	membutuhkan	waktu	yang	57
dalam_waktu_satu	dalam	waktu	satu	56
sekitar_pukul_waktu	sekitar	pukul	waktu	55
tinggal_menunggu_waktu	tinggal	menunggu	waktu	55
waktu_yang_sama	waktu	yang	sama	54
akan_memakan_waktu	akan	memakan	waktu	52
waktu_yang_lalu	waktu	yang	lalu	52
kurun_waktu_tahun	kurun	waktu	tahun	51
bebe-rapa_waktu_lalu	bebe-rapa	waktu	lalu	50
dan_dalam_waktu	dan	dalam	waktu	50
dalam_beberapa_waktu	dalam	beberapa	waktu	48
dalam_waktu_dua	dalam	waktu	dua	48
waktu_dua_tahun	waktu	dua	tahun	48
waktu_kurang_dari	waktu	kurang	dari	48
dalam_waktu_menit	dalam	waktu	menit	47
be-berapa_waktu_lalu	be-berapa	waktu	lalu	45
di_sisa_waktu	di	sisa	waktu	44
da-lam_waktu_dekat	da-lam	waktu	dekat	43
waktu_tiga_bulan	waktu	tiga	bulan	43
waktu_yang_ada	waktu	yang	ada	43
dalam_waktu_tiga	dalam	waktu	tiga	41
waktu_lalu_di	waktu	lalu	di	41
waktu_lalu_telah	waktu	lalu	telah	41
waktu_yang_diberikan	waktu	yang	diberikan	41
yang_waktu_itu	yang	waktu	itu	41
dan_waktu_yang	dan	waktu	yang	40
sejak_beberapa_waktu	sejak	beberapa	waktu	40
waktu_setempat_atau	waktu	setempat	atau	40
waktu_yang_panjang	waktu	yang	panjang	40
waktu_yang_telah	waktu	yang	telah	40
dalam_waktu_lama	dalam	waktu	lama	39
di_waktu_yang	di	waktu	yang	39
waktu_yang_ditentukan	waktu	yang	ditentukan	39
waktu_yang_sangat	waktu	yang	sangat	39
yang_memakan_waktu	yang	memakan	waktu	39
masih_ada_waktu	masih	ada	waktu	38
selama_kurun_waktu	selama	kurun	waktu	38
ada_waktu_untuk	ada	waktu	untuk	37
catatan_waktu_menit	catatan	waktu	menit	37
memakan_waktu_yang	memakan	waktu	yang	37
waktu_yang_ditetapkan	waktu	yang	ditetapkan	37
dalam_waktu_hari	dalam	waktu	hari	36
pada_beberapa_waktu	pada	beberapa	waktu	36
waktu_cukup_lama	waktu	cukup	lama	36
dalam_rentang_waktu	dalam	rentang	waktu	35
untuk_jangka_waktu	untuk	jangka	waktu	35
beberapa_waktu_yang	beberapa	waktu	yang	34
seiring_berjalannya_waktu	seiring	berjalannya	waktu	34
waktu_tiga_tahun	waktu	tiga	tahun	34
waktu_yang_singkat	waktu	yang	singkat	34
banyak_waktu_untuk	banyak	waktu	untuk	33
adalah_waktu_yang	adalah	waktu	yang	32
dalam_waktu_de-kat	dalam	waktu	de-kat	32
dalam_waktu_kurang	dalam	waktu	kurang	32
hingga_batas_waktu	hingga	batas	waktu	32
waktu_dua_bulan	waktu	dua	bulan	32
waktu_dua_hari	waktu	dua	hari	32
ini_dalam_waktu	ini	dalam	waktu	31
dalam_waktu_jam	dalam	waktu	jam	30
jangka_waktu_yang	jangka	waktu	yang	30
mengatakan_dalam_waktu	mengatakan	dalam	waktu	30
untuk_waktu_yang	untuk	waktu	yang	30
waktu_dekat_kami	waktu	dekat	kami	30
waktu_lebih_lama	waktu	lebih	lama	30
waktu_lima_tahun	waktu	lima	tahun	30
waktu_yang_dibutuhkan	waktu	yang	dibutuhkan	30
membutuhkan_waktu_sekitar	membutuhkan	waktu	sekitar	29
sampai_batas_waktu	sampai	batas	waktu	29
selesai_tepat_waktu	selesai	tepat	waktu	29
waktu_lama_untuk	waktu	lama	untuk	29
waktu_satu_bulan	waktu	satu	bulan	29
waktu_satu_tahun	waktu	satu	tahun	29
waktu_tiga_hari	waktu	tiga	hari	29
yang_beberapa_waktu	yang	beberapa	waktu	29
menunggu_waktu_yang	menunggu	waktu	yang	28
