ngram	w1	w2	w3	w4	n
dalam_waktu_dekat_ini	dalam	waktu	dekat	ini	557
dalam_waktu_dekat_akan	dalam	waktu	dekat	akan	143
dari_waktu_ke_waktu	dari	waktu	ke	waktu	96
waktu_dekat_ini_akan	waktu	dekat	ini	akan	80
waktu_yang_cukup_lama	waktu	yang	cukup	lama	69
waktu_yang_tepat_untuk	waktu	yang	tepat	untuk	64
itu_dalam_waktu_dekat	itu	dalam	waktu	dekat	57
pada_pukul_waktu_setempat	pada	pukul	waktu	setempat	52
dilakukan_dalam_waktu_dekat	dilakukan	dalam	waktu	dekat	50
sekitar_pukul_waktu_setempat	sekitar	pukul	waktu	setempat	41
beberapa_waktu_yang_lalu	beberapa	waktu	yang	lalu	33
catatan_waktu_menit_detik	catatan	waktu	menit	detik	32
dan_dalam_waktu_dekat	dan	dalam	waktu	dekat	32
sejak_beberapa_waktu_lalu	sejak	beberapa	waktu	lalu	32
beberapa_waktu_lalu_di	beberapa	waktu	lalu	di	31
beberapa_waktu_lalu_telah	beberapa	waktu	lalu	telah	31
dalam_waktu_yang_tidak	dalam	waktu	yang	tidak	31
dengan_catatan_waktu_menit	dengan	catatan	waktu	menit	31
akan_dilakukan_dalam_waktu	akan	dilakukan	dalam	waktu	30
pada_beberapa_waktu_lalu	pada	beberapa	waktu	lalu	30
da-lam_waktu_dekat_ini	da-lam	waktu	dekat	ini	29
dalam_beberapa_waktu_terakhir	dalam	beberapa	waktu	terakhir	29
dalam_kurun_waktu_tahun	dalam	kurun	waktu	tahun	28
mengatakan_dalam_waktu_dekat	mengatakan	dalam	waktu	dekat	27
dalam_waktu_kurang_dari	dalam	waktu	kurang	dari	25
membutuhkan_waktu_yang_cukup	membutuhkan	waktu	yang	cukup	25
yang_beberapa_waktu_lalu	yang	beberapa	waktu	lalu	25
waktu_dekat_ini_kami	waktu	dekat	ini	kami	24
dalam_waktu_yang_lama	dalam	waktu	yang	lama	23
pada_waktu_yang_sama	pada	waktu	yang	sama	23
waktu_dekat_akan_segera	waktu	dekat	akan	segera	23
waktu_dekat_kami_akan	waktu	dekat	kami	akan	23
dalam_waktu_de-kat_ini	dalam	waktu	de-kat	ini	22
dengan_catatan_waktu_detik	dengan	catatan	waktu	detik	22
beberapa_waktu_lalu_yang	beberapa	waktu	lalu	yang	20
digelar_dalam_waktu_dekat	digelar	dalam	waktu	dekat	20
menunggu_waktu_yang_tepat	menunggu	waktu	yang	tepat	20
waktu_dekat_ini_pihaknya	waktu	dekat	ini	pihaknya	20
yang_dalam_waktu_dekat	yang	dalam	waktu	dekat	20
beberapa_waktu_lalu_sudah	beberapa	waktu	lalu	sudah	19
sampai_batas_waktu_yang	sampai	batas	waktu	yang	19
batas_waktu_yang_ditentukan	batas	waktu	yang	ditentukan	18
dalam_kurun_waktu_tiga	dalam	kurun	waktu	tiga	18
untuk_waktu_yang_lama	untuk	waktu	yang	lama	18
waktu_yang_tidak_terlalu	waktu	yang	tidak	terlalu	18
batas_waktu_yang_ditetapkan	batas	waktu	yang	ditetapkan	17
dalam_waktu_dekat_pihaknya	dalam	waktu	dekat	pihaknya	17
ini_dalam_waktu_dekat	ini	dalam	waktu	dekat	17
pihaknya_dalam_waktu_dekat	pihaknya	dalam	waktu	dekat	17
tersebut_dalam_waktu_dekat	tersebut	dalam	waktu	dekat	17
waktu_dekat_akan_ada	waktu	dekat	akan	ada	17
waktu_yang_cukup_panjang	waktu	yang	cukup	panjang	17
adalah_waktu_yang_tepat	adalah	waktu	yang	tepat	16
dalam_jangka_waktu_yang	dalam	jangka	waktu	yang	16
hingga_batas_waktu_yang	hingga	batas	waktu	yang	16
akan_digelar_dalam_waktu	akan	digelar	dalam	waktu	15
beberapa_waktu_belakangan_ini	beberapa	waktu	belakangan	ini	15
dalam_waktu_dekat_segera	dalam	waktu	dekat	segera	15
ini_beberapa_waktu_lalu	ini	beberapa	waktu	lalu	15
pukul_waktu_setempat_atau	pukul	waktu	setempat	atau	15
terjadi_beberapa_waktu_lalu	terjadi	beberapa	waktu	lalu	15
waktu_satu_menit_detik	waktu	satu	menit	detik	15
waktu_yang_belum_ditentukan	waktu	yang	belum	ditentukan	15
dalam_kurun_waktu_yang	dalam	kurun	waktu	yang	14
dalam_waktu_satu_jam	dalam	waktu	satu	jam	14
dilaksanakan_dalam_waktu_dekat	dilaksanakan	dalam	waktu	dekat	14
waktu_dekat_ini_sudah	waktu	dekat	ini	sudah	14
waktu_yang_dibutuhkan_untuk	waktu	yang	dibutuhkan	untuk	14
waktu_yang_telah_ditentukan	waktu	yang	telah	ditentukan	14
wartawan_beberapa_waktu_lalu	wartawan	beberapa	waktu	lalu	14
yang_terjadi_beberapa_waktu	yang	terjadi	beberapa	waktu	14
akan_dilaksanakan_dalam_waktu	akan	dilaksanakan	dalam	waktu	13
beberapa_waktu_lalu_ada	beberapa	waktu	lalu	ada	13
beberapa_waktu_lalu_dan	beberapa	waktu	lalu	dan	13
beberapa_waktu_lalu_kata	beberapa	waktu	lalu	kata	13
butuh_waktu_lama_untuk	butuh	waktu	lama	untuk	13
dalam_waktu_dekat_kami	dalam	waktu	dekat	kami	13
dalam_waktu_dekat_sudah	dalam	waktu	dekat	sudah	13
dalam_waktu_satu_bulan	dalam	waktu	satu	bulan	13
dengan_waktu_menit_detik	dengan	waktu	menit	detik	13
maka_dalam_waktu_dekat	maka	dalam	waktu	dekat	13
masih_ada_waktu_untuk	masih	ada	waktu	untuk	13
punya_banyak_waktu_untuk	punya	banyak	waktu	untuk	13
bahwa_dalam_waktu_dekat	bahwa	dalam	waktu	dekat	12
batas_waktu_yang_diberikan	batas	waktu	yang	diberikan	12
batas_waktu_yang_telah	batas	waktu	yang	telah	12
beberapa_waktu_lalu_menyatakan	beberapa	waktu	lalu	menyatakan	12
dalam_waktu_yang_singkat	dalam	waktu	yang	singkat	12
dengan_catatan_waktu_terbaik	dengan	catatan	waktu	terbaik	12
hanya_dalam_kurun_waktu	hanya	dalam	kurun	waktu	12
kurun_waktu_dua_tahun	kurun	waktu	dua	tahun	12
lebih_banyak_menghabiskan_waktu	lebih	banyak	menghabiskan	waktu	12
memakan_waktu_yang_cukup	memakan	waktu	yang	cukup	12
membutuhkan_waktu_yang_lama	membutuhkan	waktu	yang	lama	12
selama_kurun_waktu_tahun	selama	kurun	waktu	tahun	12
sesuai_dengan_waktu_yang	sesuai	dengan	waktu	yang	12
waktu_dekat_pihaknya_akan	waktu	dekat	pihaknya	akan	12
waktu_terbaik_menit_detik	waktu	terbaik	menit	detik	12
dalam_jangka_waktu_lama	dalam	jangka	waktu	lama	11
dalam_waktu_dua_hari	dalam	waktu	dua	hari	11
dalam_waktu_enam_bulan	dalam	waktu	enam	bulan	11
dalam_waktu_relatif_singkat	dalam	waktu	relatif	singkat	11
dalam_waktu_tiga_bulan	dalam	waktu	tiga	bulan	11
hanya_dalam_waktu_menit	hanya	dalam	waktu	menit	11
katanya_beberapa_waktu_lalu	katanya	beberapa	waktu	lalu	11
kurun_waktu_tiga_bulan	kurun	waktu	tiga	bulan	11
kurun_waktu_tiga_tahun	kurun	waktu	tiga	tahun	11
menambahkan_dalam_waktu_dekat	menambahkan	dalam	waktu	dekat	11
merupakan_waktu_yang_tepat	merupakan	waktu	yang	tepat	11
waktu_dekat_ini_mereka	waktu	dekat	ini	mereka	11
waktu_yang_relatif_singkat	waktu	yang	relatif	singkat	11
waktu_yang_sangat_lama	waktu	yang	sangat	lama	11
waktu_yang_telah_ditetapkan	waktu	yang	telah	ditetapkan	11
waktu_yang_tidak_ditentukan	waktu	yang	tidak	ditentukan	11
waktu_yang_tidak_lama	waktu	yang	tidak	lama	11
beberapa_waktu_ke_depan	beberapa	waktu	ke	depan	10
bisa_selesai_tepat_waktu	bisa	selesai	tepat	waktu	10
dalam_jangka_waktu_tertentu	dalam	jangka	waktu	tertentu	10
dalam_kurun_waktu_satu	dalam	kurun	waktu	satu	10
dalam_waktu_dekat_tim	dalam	waktu	dekat	tim	10
dalam_waktu_dua_tahun	dalam	waktu	dua	tahun	10
dalam_waktu_tiga_hari	dalam	waktu	tiga	hari	10
dalam_waktu_yang_relatif	dalam	waktu	yang	relatif	10
dilakukan_beberapa_waktu_lalu	dilakukan	beberapa	waktu	lalu	10
lagi_dalam_waktu_dekat	lagi	dalam	waktu	dekat	10
lama_waktu_yang_dibutuhkan	lama	waktu	yang	dibutuhkan	10
malam_waktu_setempat_atau	malam	waktu	setempat	atau	10
memakan_waktu_cukup_lama	memakan	waktu	cukup	lama	10
memakan_waktu_yang_lama	memakan	waktu	yang	lama	10
pasti_dalam_waktu_dekat	pasti	dalam	waktu	dekat	10
waktu_dekat_ini_segera	waktu	dekat	ini	segera	10
waktu_dekat_ini_ujar	waktu	dekat	ini	ujar	10
waktu_yang_cukup_untuk	waktu	yang	cukup	untuk	10
waktu_yang_tepat_bagi	waktu	yang	tepat	bagi	10
yang_pada_waktu_itu	yang	pada	waktu	itu	10
akan_selesai_dalam_waktu	akan	selesai	dalam	waktu	9
beberapa_waktu_lalu_itu	beberapa	waktu	lalu	itu	9
berapa_lama_waktu_yang	berapa	lama	waktu	yang	9
dalam_kurun_waktu_lima	dalam	kurun	waktu	lima	9
dalam_waktu_dekat_ujar	dalam	waktu	dekat	ujar	9
dengan_catatan_waktu_jam	dengan	catatan	waktu	jam	9
ditemui_beberapa_waktu_lalu	ditemui	beberapa	waktu	lalu	9
ini_adalah_waktu_yang	ini	adalah	waktu	yang	9
kepada_wartawan_beberapa_waktu	kepada	wartawan	beberapa	waktu	9
kurun_waktu_tahun_terakhir	kurun	waktu	tahun	terakhir	9
memerlukan_waktu_yang_lama	memerlukan	waktu	yang	lama	9
pukul_waktu_setempat_dan	pukul	waktu	setempat	dan	9
waktu_dekat_kita_akan	waktu	dekat	kita	akan	9
waktu_jam_menit_detik	waktu	jam	menit	detik	9
waktu_kurang_dari_dua	waktu	kurang	dari	dua	9
waktu_tahun_ke_depan	waktu	tahun	ke	depan	9
waktu_yang_akan_datang	waktu	yang	akan	datang	9
waktu_yang_lebih_lama	waktu	yang	lebih	lama	9
agar_dalam_waktu_dekat	agar	dalam	waktu	dekat	8
akan_memakan_waktu_yang	akan	memakan	waktu	yang	8
batas_waktu_yang_belum	batas	waktu	yang	belum	8
beberapa_waktu_lalu_mengatakan	beberapa	waktu	lalu	mengatakan	8
beberapa_waktu_lalu_ternyata	beberapa	waktu	lalu	ternyata	8
catatan_waktu_jam_menit	catatan	waktu	jam	menit	8
dalam_jangka_waktu_dua	dalam	jangka	waktu	dua	8
dalam_jangka_waktu_tahun	dalam	jangka	waktu	tahun	8
dalam_waktu_dua_bulan	dalam	waktu	dua	bulan	8
dalam_waktu_dua_minggu	dalam	waktu	dua	minggu	8
dalam_waktu_satu_minggu	dalam	waktu	satu	minggu	8
dalam_waktu_satu_tahun	dalam	waktu	satu	tahun	8
dengan_selisih_waktu_detik	dengan	selisih	waktu	detik	8
di_sisa_waktu_lima	di	sisa	waktu	lima	8
kurun_waktu_lima_tahun	kurun	waktu	lima	tahun	8
masih_menunggu_waktu_yang	masih	menunggu	waktu	yang	8
memakan_waktu_lebih_lama	memakan	waktu	lebih	lama	8
mencari_waktu_yang_tepat	mencari	waktu	yang	tepat	8
meningkat_dari_waktu_ke	meningkat	dari	waktu	ke	8
pada_waktu_yang_bersamaan	pada	waktu	yang	bersamaan	8
pukul_hingga_waktu_setempat	pukul	hingga	waktu	setempat	8
seiring_dengan_berjalannya_waktu	seiring	dengan	berjalannya	waktu	8
selesai_dalam_waktu_dekat	selesai	dalam	waktu	dekat	8
sisa_waktu_satu_menit	sisa	waktu	satu	menit	8
tinggal_menunggu_waktu_yang	tinggal	menunggu	waktu	yang	8
untuk_sementara_waktu_tidak	untuk	sementara	waktu	tidak	8
waktu_dekat_akan_melakukan	waktu	dekat	akan	melakukan	8
waktu_dekat_ini_di	waktu	dekat	ini	di	8
waktu_dekat_ini_kata	waktu	dekat	ini	kata	8
waktu_dekat_ini_pihak	waktu	dekat	ini	pihak	8
waktu_kurang_dari_satu	waktu	kurang	dari	satu	8
waktu_lebih_lama_untuk	waktu	lebih	lama	untuk	8
waktu_menit_detik_dan	waktu	menit	detik	dan	8
waktu_yang_sangat_singkat	waktu	yang	sangat	singkat	8
waktu_yang_sudah_ditentukan	waktu	yang	sudah	ditentukan	8
waktu_yang_tidak_sebentar	waktu	yang	tidak	sebentar	8
yang_dilakukan_beberapa_waktu	yang	dilakukan	beberapa	waktu	8
akan_memakan_waktu_lama	akan	memakan	waktu	lama	7
banyak_menghabiskan_waktu_di	banyak	menghabiskan	waktu	di	7
beberapa_waktu_lalu_kami	beberapa	waktu	lalu	kami	7
beberapa_waktu_lalu_memang	beberapa	waktu	lalu	memang	7
beberapa_waktu_lalu_sempat	beberapa	waktu	lalu	sempat	7
beberapa_waktu_lalu_tidak	beberapa	waktu	lalu	tidak	7
beberapa_waktu_lalu_untuk	beberapa	waktu	lalu	untuk	7
beberapa_waktu_terakhir_ini	beberapa	waktu	terakhir	ini	7
berharap_dalam_waktu_dekat	berharap	dalam	waktu	dekat	7
catatan_waktu_terbaik_menit	catatan	waktu	terbaik	menit	7
dalam_waktu_beberapa_hari	dalam	waktu	beberapa	hari	7
dalam_waktu_dekat_ada	dalam	waktu	dekat	ada	7
dalam_waktu_dekat_bisa	dalam	waktu	dekat	bisa	7
dalam_waktu_dekat_kita	dalam	waktu	dekat	kita	7
dalam_waktu_lima_tahun	dalam	waktu	lima	tahun	7
dalam_waktu_yang_bersamaan	dalam	waktu	yang	bersamaan	7
dalam_waktu_yang_cepat	dalam	waktu	yang	cepat	7
