ngram	w1	w2
tahun_mendatang	tahun	mendatang
Desember_mendatang	Desember	mendatang
pada_mendatang	pada	mendatang
November_mendatang	November	mendatang
Juli_mendatang	Juli	mendatang
Mei_mendatang	Mei	mendatang
Oktober_mendatang	Oktober	mendatang
setahun_mendatang	setahun	mendatang
hari_mendatang	hari	mendatang
PON_mendatang	PON	mendatang
Februari_mendatang	Februari	mendatang
Juli_mendatang	Juli	mendatang
tahun_mendatang	tahun	mendatang
Agustus_mendatang	Agustus	mendatang
Desember_mendatang	Desember	mendatang
masa_mendatang	masa	mendatang
panas_mendatang	panas	mendatang
April_mendatang	April	mendatang
Agustus_mendatang	Agustus	mendatang
dingin_mendatang	dingin	mendatang
Rabu_mendatang	Rabu	mendatang
Juli_mendatang	Juli	mendatang
tahun_mendatang	tahun	mendatang
tahun-tahun_mendatang	tahun-tahun	mendatang
Agustus_mendatang	Agustus	mendatang
Maret_mendatang	Maret	mendatang
Agustus_mendatang	Agustus	mendatang
Maret_mendatang	Maret	mendatang
tahun_mendatang	tahun	mendatang
Jakarta_mendatang	Jakarta	mendatang
Minggu_mendatang	Minggu	mendatang
November_mendatang	November	mendatang
Januari_mendatang	Januari	mendatang
pada_mendatang	pada	mendatang
Julo_mendatang	Julo	mendatang
Oktober_mendatang	Oktober	mendatang
pada_mendatang	pada	mendatang
Desember_mendatang	Desember	mendatang
PBB_mendatang	PBB	mendatang
Juli_mendatang	Juli	mendatang
September_mendatang	September	mendatang
Barat_mendatang	Barat	mendatang
Minggu_mendatang	Minggu	mendatang
tanggal_mendatang	tanggal	mendatang
generasi_mendatang	generasi	mendatang
Utama_mendatang	Utama	mendatang
periode_mendatang	periode	mendatang
periode_mendatang	periode	mendatang
yang_mendatang	yang	mendatang
Oktober_mendatang	Oktober	mendatang
periode_mendatang	periode	mendatang
Golkar_mendatang	Golkar	mendatang
Agustus_mendatang	Agustus	mendatang
pada_mendatang	pada	mendatang
November_mendatang	November	mendatang
Pilkada_mendatang	Pilkada	mendatang
Oktober_mendatang	Oktober	mendatang
masa_mendatang	masa	mendatang
Mei_mendatang	Mei	mendatang
tahun_mendatang	tahun	mendatang
Agustus_mendatang	Agustus	mendatang
Agustus_mendatang	Agustus	mendatang
Maret_mendatang	Maret	mendatang
November_mendatang	November	mendatang
Desember_mendatang	Desember	mendatang
Mei_mendatang	Mei	mendatang
Desember_mendatang	Desember	mendatang
gubenur_mendatang	gubenur	mendatang
Desember_mendatang	Desember	mendatang
bulan_mendatang	bulan	mendatang
Minggu_mendatang	Minggu	mendatang
Januari_mendatang	Januari	mendatang
musim_mendatang	musim	mendatang
