ngram	w1	w2	w3
akhir_tahun_mendatang	akhir	tahun	mendatang
Barat_pada_mendatang	Barat	pada	mendatang
pada_November_mendatang	pada	November	mendatang
awal_Juli_mendatang	awal	Juli	mendatang
digelar_Mei_mendatang	digelar	Mei	mendatang
hingga_Oktober_mendatang	hingga	Oktober	mendatang
perekonomian_setahun_mendatang	perekonomian	setahun	mendatang
DUA_hari_mendatang	DUA	hari	mendatang
di_PON_mendatang	di	PON	mendatang
SENIN_Februari_mendatang	SENIN	Februari	mendatang
hingga_Juli_mendatang	hingga	Juli	mendatang
lima_tahun_mendatang	lima	tahun	mendatang
hingga_Agustus_mendatang	hingga	Agustus	mendatang
III_Desember_mendatang	III	Desember	mendatang
di_masa_mendatang	di	masa	mendatang
musim_panas_mendatang	musim	panas	mendatang
pada_April_mendatang	pada	April	mendatang
pada_Agustus_mendatang	pada	Agustus	mendatang
musim_dingin_mendatang	musim	dingin	mendatang
pada_Rabu_mendatang	pada	Rabu	mendatang
sejak_Juli_mendatang	sejak	Juli	mendatang
di_tahun_mendatang	di	tahun	mendatang
di_tahun-tahun_mendatang	di	tahun-tahun	mendatang
dan_Agustus_mendatang	dan	Agustus	mendatang
matahari_Maret_mendatang	matahari	Maret	mendatang
tanggal_Agustus_mendatang	tanggal	Agustus	mendatang
pada_Maret_mendatang	pada	Maret	mendatang
tiga_tahun_mendatang	tiga	tahun	mendatang
DKI_Jakarta_mendatang	DKI	Jakarta	mendatang
hingga_Minggu_mendatang	hingga	Minggu	mendatang
hingga_November_mendatang	hingga	November	mendatang
pada_Januari_mendatang	pada	Januari	mendatang
berakhir_pada_mendatang	berakhir	pada	mendatang
dengan_Julo_mendatang	dengan	Julo	mendatang
pada_Oktober_mendatang	pada	Oktober	mendatang
raskin_pada_mendatang	raskin	pada	mendatang
hingga_Desember_mendatang	hingga	Desember	mendatang
DK_PBB_mendatang	DK	PBB	mendatang
tanggal_Juli_mendatang	tanggal	Juli	mendatang
pada_September_mendatang	pada	September	mendatang
Jawa_Barat_mendatang	Jawa	Barat	mendatang
dan_Minggu_mendatang	dan	Minggu	mendatang
pada_tanggal_mendatang	pada	tanggal	mendatang
Agar_generasi_mendatang	Agar	generasi	mendatang
Divisi_Utama_mendatang	Divisi	Utama	mendatang
kerja_periode_mendatang	kerja	periode	mendatang
kerja_periode_mendatang	kerja	periode	mendatang
persidangan_yang_mendatang	persidangan	yang	mendatang
pada_Oktober_mendatang	pada	Oktober	mendatang
baru_periode_mendatang	baru	periode	mendatang
Partai_Golkar_mendatang	Partai	Golkar	mendatang
Medi_pada_mendatang	Medi	pada	mendatang
pada_November_mendatang	pada	November	mendatang
pada_Pilkada_mendatang	pada	Pilkada	mendatang
Malaysia_Oktober_mendatang	Malaysia	Oktober	mendatang
di_masa_mendatang	di	masa	mendatang
pada_Mei_mendatang	pada	Mei	mendatang
lima_tahun_mendatang	lima	tahun	mendatang
pada_Agustus_mendatang	pada	Agustus	mendatang
hingga_Agustus_mendatang	hingga	Agustus	mendatang
hingga_Maret_mendatang	hingga	Maret	mendatang
digelar_November_mendatang	digelar	November	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
Sport_Mei_mendatang	Sport	Mei	mendatang
dihelat_Desember_mendatang	dihelat	Desember	mendatang
kalau_gubenur_mendatang	kalau	gubenur	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
tiga_bulan_mendatang	tiga	bulan	mendatang
Solo_Minggu_mendatang	Solo	Minggu	mendatang
pada_Januari_mendatang	pada	Januari	mendatang
pada_musim_mendatang	pada	musim	mendatang
Akhir_Juli_mendatang	Akhir	Juli	mendatang
lambat_Oktober_mendatang	lambat	Oktober	mendatang
pada_Oktober_mendatang	pada	Oktober	mendatang
Akhir_Juni_mendatang	Akhir	Juni	mendatang
Akibatnya_hingga_mendatang	Akibatnya	hingga	mendatang
berlaku_Juni_mendatang	berlaku	Juni	mendatang
untuk_Pra-PON_mendatang	untuk	Pra-PON	mendatang
dua_Desember_mendatang	dua	Desember	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
Aksi_demonstrasi_mendatang	Aksi	demonstrasi	mendatang
besar-besaran_Desember_mendatang	besar-besaran	Desember	mendatang
pada_Oktober_mendatang	pada	Oktober	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
per_April_mendatang	per	April	mendatang
Ditargetkan_hingga_mendatang	Ditargetkan	hingga	mendatang
pada_April_mendatang	pada	April	mendatang
Musdalub_April_mendatang	Musdalub	April	mendatang
usai_Pemilu_mendatang	usai	Pemilu	mendatang
pada_Mei_mendatang	pada	Mei	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
dalam_PON_mendatang	dalam	PON	mendatang
pada_Juni_mendatang	pada	Juni	mendatang
dirilis_Agustus_mendatang	dirilis	Agustus	mendatang
Album_Psy_mendatang	Album	Psy	mendatang
dua_tahun_mendatang	dua	tahun	mendatang
pada_Pilpres_mendatang	pada	Pilpres	mendatang
Bulan_Ramadhan_mendatang	Bulan	Ramadhan	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
pada_November_mendatang	pada	November	mendatang
di_masa_mendatang	di	masa	mendatang
pada_tahun_mendatang	pada	tahun	mendatang
lewat_APBD_mendatang	lewat	APBD	mendatang
kota_pada_mendatang	kota	pada	mendatang
menunggu_pertemuan_mendatang	menunggu	pertemuan	mendatang
pada_Oktober_mendatang	pada	Oktober	mendatang
pada_September_mendatang	pada	September	mendatang
Pilkada_serentak_mendatang	Pilkada	serentak	mendatang
pada_November_mendatang	pada	November	mendatang
hingga_September_mendatang	hingga	September	mendatang
kepala_daerah_mendatang	kepala	daerah	mendatang
Pilkada_Aceh_mendatang	Pilkada	Aceh	mendatang
di_masa_mendatang	di	masa	mendatang
pada_Mei_mendatang	pada	Mei	mendatang
pada_tahun_mendatang	pada	tahun	mendatang
lima_tahun_mendatang	lima	tahun	mendatang
pada_tahun-tahun_mendatang	pada	tahun-tahun	mendatang
sampai_Mei_mendatang	sampai	Mei	mendatang
pelaksanaan_TFF_mendatang	pelaksanaan	TFF	mendatang
dalam_Pra-PON_mendatang	dalam	Pra-PON	mendatang
gubernur_Sumsel_mendatang	gubernur	Sumsel	mendatang
Pilgub_NTB_mendatang	Pilgub	NTB	mendatang
dua_tahun_mendatang	dua	tahun	mendatang
PON_Agustus_mendatang	PON	Agustus	mendatang
kursi_parlemen_mendatang	kursi	parlemen	mendatang
bahwa_tahun_mendatang	bahwa	tahun	mendatang
pelaksanaan_sertifikasi_mendatang	pelaksanaan	sertifikasi	mendatang
pada_November_mendatang	pada	November	mendatang
dikontrak_hingga_mendatang	dikontrak	hingga	mendatang
Rembang_Sabtu_mendatang	Rembang	Sabtu	mendatang
di_masa_mendatang	di	masa	mendatang
Apalagi_ditahun_mendatang	Apalagi	ditahun	mendatang
di_pemilu_mendatang	di	pemilu	mendatang
di_masa-masa_mendatang	di	masa-masa	mendatang
perdagangan_bebas_mendatang	perdagangan	bebas	mendatang
pada_November_mendatang	pada	November	mendatang
Apalagi_Juni_mendatang	Apalagi	Juni	mendatang
habis_pada_mendatang	habis	pada	mendatang
guru_mulai_mendatang	guru	mulai	mendatang
bebe-rapa_dekade_mendatang	bebe-rapa	dekade	mendatang
raga_Nasional_mendatang	raga	Nasional	mendatang
hingga_November_mendatang	hingga	November	mendatang
Pendidikan_tahun_mendatang	Pendidikan	tahun	mendatang
di_pemilu_mendatang	di	pemilu	mendatang
pertengahan_Mei_mendatang	pertengahan	Mei	mendatang
pada_Jum'at_mendatang	pada	Jum'at	mendatang
beberapa_tahun_mendatang	beberapa	tahun	mendatang
Manokwari_Desem-ber_mendatang	Manokwari	Desem-ber	mendatang
Apalagi_tahun-tahun_mendatang	Apalagi	tahun-tahun	mendatang
untuk_studi_mendatang	untuk	studi	mendatang
resntra_Talaud_mendatang	resntra	Talaud	mendatang
di_masa_mendatang	di	masa	mendatang
yakni_September_mendatang	yakni	September	mendatang
membangun_pada_mendatang	membangun	pada	mendatang
dan_Plus_mendatang	dan	Plus	mendatang
pada_April_mendatang	pada	April	mendatang
pelaksana-an_Desember_mendatang	pelaksana-an	Desember	mendatang
pelaksanaan_Desember_mendatang	pelaksanaan	Desember	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
mulai_Januari_mendatang	mulai	Januari	mendatang
menjelang_PON_mendatang	menjelang	PON	mendatang
wilayah_tersebut_mendatang	wilayah	tersebut	mendatang
dalam_pilkada_mendatang	dalam	pilkada	mendatang
Camp_sampai_mendatang	Camp	sampai	mendatang
pada_April_mendatang	pada	April	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
di_masa_mendatang	di	masa	mendatang
pada_Desember_mendatang	pada	Desember	mendatang
PON_Maret_mendatang	PON	Maret	mendatang
pada_November_mendatang	pada	November	mendatang
bursa_transfer_mendatang	bursa	transfer	mendatang
dan_Desember_mendatang	dan	Desember	mendatang
pada_April_mendatang	pada	April	mendatang
bulan_Maret_mendatang	bulan	Maret	mendatang
lagi_April_mendatang	lagi	April	mendatang
