ngram	w1	w2	n
di_zaman	di	zaman	137
pada_zaman	pada	zaman	109
sejak_zaman	sejak	zaman	82
perkembangan_zaman	perkembangan	zaman	81
zaman_dulu	zaman	dulu	66
zaman_sekarang	zaman	sekarang	60
zaman_dahulu	zaman	dahulu	47
zaman_yang	zaman	yang	39
dari_zaman	dari	zaman	34
zaman_itu	zaman	itu	27
zaman_dan	zaman	dan	24
perubahan_zaman	perubahan	zaman	20
zaman_penjajahan	zaman	penjajahan	19
akhir_zaman	akhir	zaman	18
zaman_modern	zaman	modern	18
ke_zaman	ke	zaman	16
kemajuan_zaman	kemajuan	zaman	14
zaman_kolonial	zaman	kolonial	14
zaman_orde	zaman	orde	12
zaman_ini	zaman	ini	11
peninggalan_zaman	peninggalan	zaman	10
ketinggalan_zaman	ketinggalan	zaman	9
dengan_zaman	dengan	zaman	8
sepanjang_zaman	sepanjang	zaman	7
tantangan_zaman	tantangan	zaman	7
zaman_batu	zaman	batu	7
zaman_kerajaan	zaman	kerajaan	7
zaman_nenek	zaman	nenek	7
zaman_perang	zaman	perang	7
zaman_tersebut	zaman	tersebut	7
muda_zaman	muda	zaman	6
oleh_zaman	oleh	zaman	6
tuntutan_zaman	tuntutan	zaman	6
zaman_baru	zaman	baru	6
zaman_ketika	zaman	ketika	6
zaman_pemerintahan	zaman	pemerintahan	6
zaman_saya	zaman	saya	6
berkembangnya_zaman	berkembangnya	zaman	5
dinamika_zaman	dinamika	zaman	5
mengikuti_zaman	mengikuti	zaman	5
pemuda_zaman	pemuda	zaman	5
zaman_baheula	zaman	baheula	5
zaman_dengan	zaman	dengan	5
zaman_keemasan	zaman	keemasan	5
zaman_perjuangan	zaman	perjuangan	5
zaman_prasejarah	zaman	prasejarah	5
zaman_saat	zaman	saat	5
ketika_zaman	ketika	zaman	4
masyarakat_zaman	masyarakat	zaman	4
sebelum_zaman	sebelum	zaman	4
setiap_zaman	setiap	zaman	4
zaman_di	zaman	di	4
zaman_ke	zaman	ke	4
zaman_kemerdekaan	zaman	kemerdekaan	4
zaman_kini	zaman	kini	4
zaman_kita	zaman	kita	4
zaman_reformasi	zaman	reformasi	4
zaman_semakin	zaman	semakin	4
anak_zaman	anak	zaman	3
benda-benda_zaman	benda-benda	zaman	3
dan_zaman	dan	zaman	3
daripada_zaman	daripada	zaman	3
gempuran_zaman	gempuran	zaman	3
hingga_zaman	hingga	zaman	3
itu_zaman	itu	zaman	3
kebutuhan_zaman	kebutuhan	zaman	3
tanda-tanda_zaman	tanda-tanda	zaman	3
tergerus_zaman	tergerus	zaman	3
zaman_jahiliyah	zaman	jahiliyah	3
zaman_kata	zaman	kata	3
zaman_kepemimpinan	zaman	kepemimpinan	3
zaman_kuno	zaman	kuno	3
zaman_memang	zaman	memang	3
zaman_nabi	zaman	nabi	3
zaman_purba	zaman	purba	3
zaman_raja-raja	zaman	raja-raja	3
zaman_sekolah	zaman	sekolah	3
zaman_sudah	zaman	sudah	3
anak-anak_zaman	anak-anak	zaman	2
atau_zaman	atau	zaman	2
bukan_zaman	bukan	zaman	2
dimakan_zaman	dimakan	zaman	2
ditelan_zaman	ditelan	zaman	2
fase_zaman	fase	zaman	2
karena_zaman	karena	zaman	2
keramik_zaman	keramik	zaman	2
khas_zaman	khas	zaman	2
mengingat_zaman	mengingat	zaman	2
modern_zaman	modern	zaman	2
penanda_zaman	penanda	zaman	2
perempuan_zaman	perempuan	zaman	2
perkemba-ngan_zaman	perkemba-ngan	zaman	2
saat_zaman	saat	zaman	2
sampai_zaman	sampai	zaman	2
se-jak_zaman	se-jak	zaman	2
sejarah_zaman	sejarah	zaman	2
semangat_zaman	semangat	zaman	2
seperti_zaman	seperti	zaman	2
sesuai_zaman	sesuai	zaman	2
tawaran_zaman	tawaran	zaman	2
termakan_zaman	termakan	zaman	2
tidak_zaman	tidak	zaman	2
uang_zaman	uang	zaman	2
waktu_zaman	waktu	zaman	2
zaman_adalah	zaman	adalah	2
zaman_digital	zaman	digital	2
zaman_edan	zaman	edan	2
zaman_katanya	zaman	katanya	2
zaman_kejayaan	zaman	kejayaan	2
zaman_lagi	zaman	lagi	2
zaman_mereka	zaman	mereka	2
zaman_model	zaman	model	2
zaman_normal	zaman	normal	2
zaman_nyatanya	zaman	nyatanya	2
zaman_para	zaman	para	2
zaman_pergerakan	zaman	pergerakan	2
zaman_sahabat	zaman	sahabat	2
zaman_sama	zaman	sama	2
zaman_se-karang	zaman	se-karang	2
zaman_sebelum	zaman	sebelum	2
zaman_serba	zaman	serba	2
zaman_tak	zaman	tak	2
zaman_ternyata	zaman	ternyata	2
zaman_terus	zaman	terus	2
zaman_ujar	zaman	ujar	2
2016Pada_zaman	2016Pada	zaman	1
ada_zaman	ada	zaman	1
ada-lah_zaman	ada-lah	zaman	1
adalah_zaman	adalah	zaman	1
aliran_zaman	aliran	zaman	1
apalagi_zaman	apalagi	zaman	1
awal_zaman	awal	zaman	1
bahasa_zaman	bahasa	zaman	1
bahkan_zaman	bahkan	zaman	1
bahwa_zaman	bahwa	zaman	1
bangsa_zaman	bangsa	zaman	1
batik_zaman	batik	zaman	1
batu_zaman	batu	zaman	1
belakang_zaman	belakang	zaman	1
berarsitektur_zaman	berarsitektur	zaman	1
berbagai_zaman	berbagai	zaman	1
bergesernya_zaman	bergesernya	zaman	1
berjalannya_zaman	berjalannya	zaman	1
berkembang_zaman	berkembang	zaman	1
berkembangannya_zaman	berkembangannya	zaman	1
berkurang_zaman	berkurang	zaman	1
bocah_zaman	bocah	zaman	1
budaya_zaman	budaya	zaman	1
cerita_zaman	cerita	zaman	1
cinta_zaman	cinta	zaman	1
dalam_zaman	dalam	zaman	1
dangdut_zaman	dangdut	zaman	1
datangnya_zaman	datangnya	zaman	1
desa_zaman	desa	zaman	1
dibanding_zaman	dibanding	zaman	1
digital_zaman	digital	zaman	1
dilakukan_zaman	dilakukan	zaman	1
ditenggelamkan_zaman	ditenggelamkan	zaman	1
diterapkan_zaman	diterapkan	zaman	1
ditinggalkan_zaman	ditinggalkan	zaman	1
dugem_zaman	dugem	zaman	1
enak_zaman	enak	zaman	1
entah_zaman	entah	zaman	1
fantasi_zaman	fantasi	zaman	1
fatwa_zaman	fatwa	zaman	1
faze_zaman	faze	zaman	1
fenomena_zaman	fenomena	zaman	1
film_zaman	film	zaman	1
foto-foto_zaman	foto-foto	zaman	1
geliat_zaman	geliat	zaman	1
gerekan_zaman	gerekan	zaman	1
hewan_zaman	hewan	zaman	1
huru-hara_zaman	huru-hara	zaman	1
ingat_zaman	ingat	zaman	1
ini_zaman	ini	zaman	1
istilah_zaman	istilah	zaman	1
jadul_zaman	jadul	zaman	1
kala_zaman	kala	zaman	1
kalau_zaman	kalau	zaman	1
kampanye_zaman	kampanye	zaman	1
kan_zaman	kan	zaman	1
kecenderungan_zaman	kecenderungan	zaman	1
kecil_zaman	kecil	zaman	1
kehidupan_zaman	kehidupan	zaman	1
kemanjuan_zaman	kemanjuan	zaman	1
kemauan_zaman	kemauan	zaman	1
kembali_zaman	kembali	zaman	1
