ngram	w1	w2	w3	n
dengan_perkembangan_zaman	dengan	perkembangan	zaman	25
mengikuti_perkembangan_zaman	mengikuti	perkembangan	zaman	14
ada_sejak_zaman	ada	sejak	zaman	13
pada_zaman_dahulu	pada	zaman	dahulu	13
pada_zaman_dulu	pada	zaman	dulu	13
pada_zaman_itu	pada	zaman	itu	12
di_zaman_modern	di	zaman	modern	10
zaman_orde_baru	zaman	orde	baru	10
hidup_di_zaman	hidup	di	zaman	9
perkembangan_zaman_dan	perkembangan	zaman	dan	9
seiring_perkembangan_zaman	seiring	perkembangan	zaman	9
sejak_zaman_dahulu	sejak	zaman	dahulu	8
zaman_modern_ini	zaman	modern	ini	8
zaman_sekarang_ini	zaman	sekarang	ini	8
di_zaman_orde	di	zaman	orde	7
di_zaman_yang	di	zaman	yang	7
kembali_ke_zaman	kembali	ke	zaman	7
perkembangan_zaman_yang	perkembangan	zaman	yang	7
sejak_zaman_dulu	sejak	zaman	dulu	7
zaman_dulu_yang	zaman	dulu	yang	7
zaman_nenek_moyang	zaman	nenek	moyang	7
zaman_yang_semakin	zaman	yang	semakin	7
muda_zaman_sekarang	muda	zaman	sekarang	6
sejak_zaman_penjajahan	sejak	zaman	penjajahan	6
zaman_yang_serba	zaman	yang	serba	6
di_zaman_sekarang	di	zaman	sekarang	5
kemajuan_zaman_dan	kemajuan	zaman	dan	5
sesuai_perkembangan_zaman	sesuai	perkembangan	zaman	5
zaman_dan_teknologi	zaman	dan	teknologi	5
ada_pada_zaman	ada	pada	zaman	4
dan_ketinggalan_zaman	dan	ketinggalan	zaman	4
dari_zaman_dahulu	dari	zaman	dahulu	4
dari_zaman_ke	dari	zaman	ke	4
dengan_kemajuan_zaman	dengan	kemajuan	zaman	4
di_akhir_zaman	di	akhir	zaman	4
di_zaman_dulu	di	zaman	dulu	4
di_zaman_ini	di	zaman	ini	4
di_zaman_penjajahan	di	zaman	penjajahan	4
menjawab_tantangan_zaman	menjawab	tantangan	zaman	4
perang_di_zaman	perang	di	zaman	4
zaman_dulu_dan	zaman	dulu	dan	4
zaman_ke_zaman	zaman	ke	zaman	4
zaman_saat_ini	zaman	saat	ini	4
zaman_sekarang_kata	zaman	sekarang	kata	4
anak_muda_zaman	anak	muda	zaman	3
anak_zaman_sekarang	anak	zaman	sekarang	3
