ngram	w1	w2	w3	w4	n
sudah_ada_sejak_zaman	sudah	ada	sejak	zaman	10
di_zaman_orde_baru	di	zaman	orde	baru	7
sesuai_dengan_perkembangan_zaman	sesuai	dengan	perkembangan	zaman	7
seiring_dengan_perkembangan_zaman	seiring	dengan	perkembangan	zaman	6
di_zaman_modern_ini	di	zaman	modern	ini	5
di_zaman_yang_serba	di	zaman	yang	serba	5
dari_zaman_ke_zaman	dari	zaman	ke	zaman	4
perkembangan_zaman_yang_semakin	perkembangan	zaman	yang	semakin	4
zaman_yang_semakin_maju	zaman	yang	semakin	maju	4
ada_sejak_zaman_dulu	ada	sejak	zaman	dulu	3
anak_muda_zaman_sekarang	anak	muda	zaman	sekarang	3
kuno_dan_ketinggalan_zaman	kuno	dan	ketinggalan	zaman	3
sejak_zaman_nenek_moyang	sejak	zaman	nenek	moyang	3
zaman_dahulu_hingga_sekarang	zaman	dahulu	hingga	sekarang	3
akan_kembali_ke_zaman	akan	kembali	ke	zaman	2
anak_zaman_sekarang_tak	anak	zaman	sekarang	tak	2
bahwa_pada_zaman_dahulu	bahwa	pada	zaman	dahulu	2
baru_sesuai_perkembangan_zaman	baru	sesuai	perkembangan	zaman	2
benda-benda_zaman_dulu_dan	benda-benda	zaman	dulu	dan	2
dari_zaman_dahulu_hingga	dari	zaman	dahulu	hingga	2
dari_zaman_itu_adalah	dari	zaman	itu	adalah	2
dari_zaman_nenek_moyang	dari	zaman	nenek	moyang	2
dengan_perkembangan_zaman_dan	dengan	perkembangan	zaman	dan	2
dengan_perkembangan_zaman_yang	dengan	perkembangan	zaman	yang	2
dengan_perubahan_zaman_nyatanya	dengan	perubahan	zaman	nyatanya	2
dengan_segala_tawaran_zaman	dengan	segala	tawaran	zaman	2
dengan_zaman_sekarang_toh	dengan	zaman	sekarang	toh	2
di_tengah_gempuran_zaman	di	tengah	gempuran	zaman	2
di_zaman_sekarang_ini	di	zaman	sekarang	ini	2
dipungkiri_lagi_anak_zaman	dipungkiri	lagi	anak	zaman	2
kalah_dengan_pemuda_zaman	kalah	dengan	pemuda	zaman	2
kemajuan_zaman_dan_teknologi	kemajuan	zaman	dan	teknologi	2
kembali_ke_zaman_batu	kembali	ke	zaman	batu	2
lagi_anak_zaman_sekarang	lagi	anak	zaman	sekarang	2
masih_seperti_pada_zaman	masih	seperti	pada	zaman	2
membaca_tanda-tanda_zaman_dan	membaca	tanda-tanda	zaman	dan	2
pemugaran_dari_zaman_dahulu	pemugaran	dari	zaman	dahulu	2
peninggalan_dari_zaman_itu	peninggalan	dari	zaman	itu	2
perkembangan_zaman_dan_teknologi	perkembangan	zaman	dan	teknologi	2
perkembangan_zaman_saat_ini	perkembangan	zaman	saat	ini	2
