ngram	w1	w2	w3	w4	w5	n
perkembangan_zaman_yang_semakin_maju	perkembangan	zaman	yang	semakin	maju	3
sudah_ada_sejak_zaman_dulu	sudah	ada	sejak	zaman	dulu	3
anak_zaman_sekarang_tak_bisa	anak	zaman	sekarang	tak	bisa	2
dari_zaman_dahulu_hingga_sekarang	dari	zaman	dahulu	hingga	sekarang	2
dengan_perubahan_zaman_nyatanya_kita	dengan	perubahan	zaman	nyatanya	kita	2
dengan_segala_tawaran_zaman_yang	dengan	segala	tawaran	zaman	yang	2
dengan_zaman_sekarang_toh_ujar	dengan	zaman	sekarang	toh	ujar	2
di_zaman_orde_baru_itu	di	zaman	orde	baru	itu	2
dipungkiri_lagi_anak_zaman_sekarang	dipungkiri	lagi	anak	zaman	sekarang	2
ini_sudah_ada_sejak_zaman	ini	sudah	ada	sejak	zaman	2
lagi_anak_zaman_sekarang_tak	lagi	anak	zaman	sekarang	tak	2
merupakan_salah_satu_penanda_zaman	merupakan	salah	satu	penanda	zaman	2
pemugaran_dari_zaman_dahulu_hingga	pemugaran	dari	zaman	dahulu	hingga	2
peninggalan_dari_zaman_itu_adalah	peninggalan	dari	zaman	itu	adalah	2
perkembangan_zaman_yang_kian_modern	perkembangan	zaman	yang	kian	modern	2
perubahan_zaman_nyatanya_kita_bisa	perubahan	zaman	nyatanya	kita	bisa	2
relatif_dengan_segala_tawaran_zaman	relatif	dengan	segala	tawaran	zaman	2
satu_peninggalan_dari_zaman_itu	satu	peninggalan	dari	zaman	itu	2
seiring_dengan_perkembangan_zaman_yang	seiring	dengan	perkembangan	zaman	yang	2
seiring_dengan_perubahan_zaman_nyatanya	seiring	dengan	perubahan	zaman	nyatanya	2
sesuai_dengan_zaman_sekarang_toh	sesuai	dengan	zaman	sekarang	toh	2
tidak_dipungkiri_lagi_anak_zaman	tidak	dipungkiri	lagi	anak	zaman	2
tidak_sesuai_dengan_zaman_sekarang	tidak	sesuai	dengan	zaman	sekarang	2
ya_tidak_sesuai_dengan_zaman	ya	tidak	sesuai	dengan	zaman	2
yang_kuno_dan_ketinggalan_zaman	yang	kuno	dan	ketinggalan	zaman	2
yang_sudah_ada_sejak_zaman	yang	sudah	ada	sejak	zaman	2
zaman_dulu_pilih_blatju_atau	zaman	dulu	pilih	blatju	atau	2
zaman_nyatanya_kita_bisa_mendapati	zaman	nyatanya	kita	bisa	mendapati	2
zaman_sama_kebudayaan_kita_sendiri	zaman	sama	kebudayaan	kita	sendiri	2
zaman_sekarang_tak_bisa_terhindar	zaman	sekarang	tak	bisa	terhindar	2
zaman_ternyata_tak_selamanya_berdampak	zaman	ternyata	tak	selamanya	berdampak	2
zaman_yang_serba_modern_ini	zaman	yang	serba	modern	ini	2
1960-an_adalah_zaman_terjadinya_pengerahan	1960-an	adalah	zaman	terjadinya	pengerahan	1
2016Pada_zaman_ini_siapa_yang	2016Pada	zaman	ini	siapa	yang	1
3M_namun_itu_sudah_zaman	3M	namun	itu	sudah	zaman	1
60-an_tahun_silam_di_zaman	60-an	tahun	silam	di	zaman	1
ada_orang_di_zaman_ini	ada	orang	di	zaman	ini	1
ada_pada_zaman_mesolitik_yang	ada	pada	zaman	mesolitik	yang	1
ada_sejak_zaman_dahulu_sebelum	ada	sejak	zaman	dahulu	sebelum	1
ada_sejak_zaman_dulu_ya	ada	sejak	zaman	dulu	ya	1
ada_sejak_zaman_nenek_moyang	ada	sejak	zaman	nenek	moyang	1
ada_sekalipun_zaman_sudah_modern	ada	sekalipun	zaman	sudah	modern	1
ada_ya_zaman_sekarang_tanya	ada	ya	zaman	sekarang	tanya	1
ada-lah_zaman_di_mana_manusia	ada-lah	zaman	di	mana	manusia	1
adalah_awal_zaman_kemapanan_atau	adalah	awal	zaman	kemapanan	atau	1
adalah_bagian_dari_zaman_se-karang	adalah	bagian	dari	zaman	se-karang	1
adalah_ikon_dari_zaman_maju	adalah	ikon	dari	zaman	maju	1
adalah_orang_penting_zaman_dulu	adalah	orang	penting	zaman	dulu	1
adalah_pada_zaman_itu_warga	adalah	pada	zaman	itu	warga	1
adalah_pemuda_zaman_sekarang_jangan	adalah	pemuda	zaman	sekarang	jangan	1
adalah_semangat_zaman_perupa_kontemporer	adalah	semangat	zaman	perupa	kontemporer	1
adalah_wartawan_zaman_orde_lama	adalah	wartawan	zaman	orde	lama	1
adalah_zaman_terjadinya_pengerahan_massa	adalah	zaman	terjadinya	pengerahan	massa	1
adat_di_tengah_gempuran_zaman	adat	di	tengah	gempuran	zaman	1
adat_sejak_zaman_dahulu_sehingga	adat	sejak	zaman	dahulu	sehingga	1
advokat_generasi_pertama_pada_zaman	advokat	generasi	pertama	pada	zaman	1
agak_sulit_dilakuakn_mengingat_zaman	agak	sulit	dilakuakn	mengingat	zaman	1
agar_tidak_tergerus_oleh_zaman	agar	tidak	tergerus	oleh	zaman	1
agar_tidak_terkubur_oleh_zaman	agar	tidak	terkubur	oleh	zaman	1
ahli_strategi_perang_di_zaman	ahli	strategi	perang	di	zaman	1
akan_armagedon_perang_akhir_zaman	akan	armagedon	perang	akhir	zaman	1
akan_balik_lagi_seperti_zaman	akan	balik	lagi	seperti	zaman	1
akan_berkurang_tapi_zaman_nggak	akan	berkurang	tapi	zaman	nggak	1
akan_kembali_ke_zaman_barbar	akan	kembali	ke	zaman	barbar	1
akan_kembali_ke_zaman_jahiliyah	akan	kembali	ke	zaman	jahiliyah	1
akan_me-ningkat_sebelum_akhir_zaman	akan	me-ningkat	sebelum	akhir	zaman	1
akan_muncul_di_akhir_zaman	akan	muncul	di	akhir	zaman	1
akan_pernah_usang_dimakan_zaman	akan	pernah	usang	dimakan	zaman	1
akhir_zaman_ashra_tussa'ah_yang	akhir	zaman	ashra	tussa'ah	yang	1
akhir_zaman_dan_mengaku_dirinya	akhir	zaman	dan	mengaku	dirinya	1
akhir_zaman_dan_semua_orang	akhir	zaman	dan	semua	orang	1
akhir_zaman_karena_kepemimpinan_dan	akhir	zaman	karena	kepemimpinan	dan	1
akhir_zaman_manusia_sudah_tidak	akhir	zaman	manusia	sudah	tidak	1
